CPU,CPU Socket,Chipset,CrossFire Support,Floppy,Form Factor,Half Mini-PCI-Express,Kind,Link,Manufacturer,Maximum Supported Memory,Memory Slots,Memory Type,Micro SATA 6 Gb/s,Mini-PCI-Express,Mini-PCI-Express/mSATA,Model,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,PATA 100,PATA 133,Part #,Prices,RAID Support,SAS 12 Gb/s,SAS 3 Gb/s,SAS 6 Gb/s,SATA 1.5 Gb/s,SATA 3 Gb/s,SATA 6 Gb/s,SATA Express,SLI Support,U.2,U.2 (SFF-8639),eSATA 3Gb/s,eSATA 6Gb/s,mSATA,avg,short_link,socket,max_mem,mem_slots
,AM3,AMD 760G,No,,Micro ATX,,Motherboard,/product/Qdh9TW/jetway-motherboard-jma760tmhgv2lf,Jetway,8GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333,,,,,Jetway JMA760TMHG-V2-LF Micro ATX AM3 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,1,JMA760TMHG-V2-LF,[],No,,,,,2,,,No,,,,,,0.0,jetway-motherboard-jma760tmhgv2lf,AM3,8.0,2 x 240-pin DIMM
,LGA1155,Intel H67,No,,Micro ATX,,Motherboard,/product/ZQH323/biostar-motherboard-h67mh,Biostar,8GB,2 x 240-pin DIMM,DDR3-1066 / 1333,,,,,Biostar H67MH Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,H67MH,[],Yes,,,,,4,2,,No,,,,,,0.0,biostar-motherboard-h67mh,LGA1155,8.0,2 x 240-pin DIMM
,LGA1150,Intel Z87,No,,Mini ITX,,Motherboard,/product/bYMFf7/evga-motherboard-111hwe872kr,EVGA,16GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1866 / 2133 / 2400 / 2666,,,1,Z87 Stinger,EVGA Z87 Stinger Mini ITX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,111-HW-E872-KR,[],Yes,,,,,,4,,No,,,1,,,0.0,evga-motherboard-111hwe872kr,LGA1150,16.0,2 x 240-pin DIMM
,LGA1155,Intel B75,No,,Micro ATX,,Motherboard,/product/pZphP6/ecs-motherboard-b75h2m310,ECS,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,,ECS B75H2-M3(1.0) Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,B75H2-M3(1.0),[],No,,,,,2,1,,No,,,,,,0.0,ecs-motherboard-b75h2m310,LGA1155,16.0,2 x 240-pin DIMM
,LGA1155,Intel H61,No,,Mini ITX,,Motherboard,/product/tVV48d/ecs-motherboard-h61h2i3v10,ECS,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,,ECS H61H2-I3 (v1.0) Mini ITX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,H61H2-I3 (v1.0),[],No,,,,,4,,,No,,,,,,0.0,ecs-motherboard-h61h2i3v10,LGA1155,16.0,2 x 240-pin DIMM
,LGA1155,Intel H77,No,,Mini ITX,,Motherboard,/product/gDYXsY/gigabyte-motherboard-gah77nwifi,Gigabyte,16GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600,,,,,Gigabyte GA-H77N-WIFI Mini ITX LGA1155 Motherboard,2 x 10/100/1000 Mbps,Yes,Yes,,,GA-H77N-WIFI,[],Yes,,,,,2,2,,No,,,,,,0.0,gigabyte-motherboard-gah77nwifi,LGA1155,16.0,2 x 240-pin DIMM
,LGA1155,Intel H61,No,,Micro ATX,,Motherboard,/product/22sKHx/biostar-motherboard-h61mu3,Biostar,8GB,2 x 240-pin DIMM,DDR3-1066 / 1333,,,,,Biostar H61MU3 Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,H61MU3,[],No,,,,,4,,,No,,,,,,0.0,biostar-motherboard-h61mu3,LGA1155,8.0,2 x 240-pin DIMM
,FM2,AMD A55,Yes,,Micro ATX,,Motherboard,/product/yDYXsY/asrock-motherboard-fm2a55mdgs,ASRock,16GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1866 / 2133 / 2400,,,,,ASRock FM2A55M-DGS Micro ATX FM2 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,FM2A55M-DGS,[],Yes,,,,,6,,,No,,,,,,0.0,asrock-motherboard-fm2a55mdgs,FM2,16.0,2 x 240-pin DIMM
,FM2,AMD A75,Yes,,Micro ATX,,Motherboard,/product/dNtCmG/asrock-motherboard-fm2a75pro4m,ASRock,32GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1866 / 2133 / 2400 / 2600,,,,,ASRock FM2A75 Pro4-M Micro ATX FM2 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,FM2A75 Pro4-M,[],Yes,,,,,,5,,No,,,,1,,0.0,asrock-motherboard-fm2a75pro4m,FM2,32.0,4 x 240-pin DIMM
,FM2,AMD A85X,Yes,,ATX,,Motherboard,/product/JFjG3C/biostar-motherboard-hifia85w,Biostar,64GB,4 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1866 / 2133 / 2400,,,,,Biostar Hi-Fi A85W ATX FM2 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,Hi-Fi A85W,[],Yes,,,,,,8,,No,,,,,,0.0,biostar-motherboard-hifia85w,FM2,64.0,4 x 240-pin DIMM
,LGA1150,Intel H81,No,,Micro ATX,,Motherboard,/product/mxDwrH/msi-motherboard-h81me35v2,MSI,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,,MSI H81M-E35 V2 Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,,,H81M-E35 V2,[],No,,,,,2,2,,No,,,,,,0.0,msi-motherboard-h81me35v2,LGA1150,16.0,2 x 240-pin DIMM
,LGA1155,Intel H67,No,,Mini ITX,,Motherboard,/product/QfTmP6/intel-motherboard-boxdh67cfb3,Intel,16GB,2 x 240-pin DIMM,DDR3-1066 / 1333,,,,DH67CFB3,Intel DH67CFB3 Mini ITX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,Depends on CPU,,,BOXDH67CFB3,[],Yes,,,,,2,2,,No,,,1,,,0.0,intel-motherboard-boxdh67cfb3,LGA1155,16.0,2 x 240-pin DIMM
Integrated Atom D525,,Intel NM10,No,,Mini ITX,,Motherboard,/product/n9DwrH/ecs-motherboard-tigdci310,ECS,4GB,2 x 204-pin SODIMM,DDR3-800,,,,,ECS TIGD-CI3(1.0) Mini ITX Atom D525 Motherboard,1 x 10/100 Mbps,No,Yes,,,TIGD-CI3(1.0),[],No,,,,,2,,,No,,,,,,0.0,ecs-motherboard-tigdci310,,4.0,2 x 204-pin SODIMM
Integrated Atom 330,,NVIDIA ION,No,,Mini ITX,,Motherboard,/product/Ldh9TW/asus-motherboard-at3iontideluxe,Asus,4GB,2 x 240-pin DIMM,DDR3-800 / 1066,,,,,Asus AT3IONT-I Deluxe Mini ITX Atom 330 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,AT3IONT-I Deluxe,[],No,,,,,4,,,No,,,,,,0.0,asus-motherboard-at3iontideluxe,,4.0,2 x 240-pin DIMM
Integrated Atom D525,,Intel NM10,No,,Mini ITX,,Motherboard,/product/wmMFf7/asrock-motherboard-ad525pv3,ASRock,8GB,2 x 240-pin DIMM,DDR3-800,,,,,ASRock AD525PV3 Mini ITX Atom D525 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,AD525PV3,[],No,,,,,2,,,No,,,,,,0.0,asrock-motherboard-ad525pv3,,8.0,2 x 240-pin DIMM
Integrated E-Series E-350,,AMD Hudson M1,No,,Mini ITX,,Motherboard,/product/CZbp99/msi-motherboard-e350ise45,MSI,8GB,2 x 240-pin DIMM,DDR3-1066 / 1333,,,,,MSI E350IS-E45 Mini ITX E-Series E-350 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,E350IS-E45,[],No,,,,,,4,,No,,,,,,0.0,msi-motherboard-e350ise45,,8.0,2 x 240-pin DIMM
Integrated E-Series E-350,,AMD Hudson M1,No,,Mini ITX,,Motherboard,/product/cgMFf7/gigabyte-motherboard-gae350nusb3,Gigabyte,8GB,2 x 240-pin DIMM,DDR3-1066 / 1333,,,,,Gigabyte GA-E350N-USB3 Mini ITX E-Series E-350 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,GA-E350N-USB3,[],No,,,,,,4,,No,,,,,,0.0,gigabyte-motherboard-gae350nusb3,,8.0,2 x 240-pin DIMM
Integrated Atom D425,,Intel NM10,No,,Mini ITX,,Motherboard,/product/yHmLrH/intel-motherboard-boxd425kt,Intel,4GB,2 x 204-pin SODIMM,DDR3-800 / 1066,,,,D425KT,Intel D425KT Mini ITX Atom D425 Motherboard,1 x 10/100 Mbps,No,Yes,,,BOXD425KT,[],No,,,,,2,,,No,,,,,,0.0,intel-motherboard-boxd425kt,,4.0,2 x 204-pin SODIMM
Integrated E-Series E-350,,AMD Hudson D1,No,,Mini ITX,,Motherboard,/product/vDR48d/jetway-motherboard-jnc85e350lf,Jetway,8GB,2 x 204-pin SODIMM,DDR3-1066,,1,,,Jetway JNC85-E350-LF Mini ITX E-Series E-350 Motherboard,1 x 10/100/1000 Mbps,No,Yes,,,JNC85-E350-LF,[],No,,,,,4,,,No,,,,,,0.0,jetway-motherboard-jnc85e350lf,,8.0,2 x 204-pin SODIMM
