Bearing Type,Fan RPM,Height,Kind,Link,Liquid Cooled,Manufacturer,Model,Name,Noise Level,Part #,Prices,Radiator Size,Supported Sockets,avg,short_link,noise_level,max_noise,min_noise,rpm,rpm_min,rpm_max,liquid,rad_size,bearing_type,cooler_height
,600 - 1800 RPM,"6.18"" (157mm)",CPU Cooler,/product/mjdqqs/phanteks-cpu-cooler-phtc12dx,No,Phanteks,,Phanteks PH-TC12DX 68.5 CFM CPU Cooler,21.9 - 27.6 dbA,PH-TC12DX,"[49.99, 54.99, 55.66, 59.99, 69.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",58.124,phanteks-cpu-cooler-phtc12dx,21.9 - 27.6 ,27.6,21.9,600 - 1800 ,600.0,1800.0,No,0.0,,157.0
Fluid Dynamic,600 - 2000 RPM,"2.76"" (70mm)",CPU Cooler,/product/3jTmP6/arctic-cooling-cpu-cooler-ucacoap11301bua01,No,ARCTIC,Alpine 11 Plus,ARCTIC Alpine 11 Plus Fluid Dynamic Bearing CPU Cooler,14.0 dbA,UCACO-AP11301-BUA01,"[12.75, 12.99, 12.99, 16.33]",,"LGA1150, LGA1151, LGA1155, LGA1156, LGA775",13.765,arctic-cooling-cpu-cooler-ucacoap11301bua01,14.0 ,14.0 ,14.0,600 - 2000 ,600.0,2000.0,No,0.0,Fluid Dynamic,70.0
,900 - 2200 RPM,"2.60"" (66mm)",CPU Cooler,/product/psGkcf/gelid-solutions-cpu-cooler-ccsiberian01,No,Gelid Solutions,,Gelid Solutions CC-Siberian-01 51.9 CFM CPU Cooler,10.0 - 22.5 dbA,CC-Siberian-01,"[9.88, 9.99, 9.99, 9.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA775",9.9625,gelid-solutions-cpu-cooler-ccsiberian01,10.0 - 22.5 ,22.5,10.0,900 - 2200 ,900.0,2200.0,No,0.0,,66.0
,300 - 1500 RPM,"6.50"" (165mm)",CPU Cooler,/product/4vzv6h/noctua-cpu-cooler-nhd15,No,Noctua,,Noctua NH-D15 82.5 CFM CPU Cooler,19.2 - 24.6 dbA,NH-D15,"[85.49, 85.97, 85.99, 87.5, 97.04]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3",88.398,noctua-cpu-cooler-nhd15,19.2 - 24.6 ,24.6,19.2,300 - 1500 ,300.0,1500.0,No,0.0,,165.0
,2000 RPM,"4.13"" (105mm)",CPU Cooler,/product/7XH48d/cooler-master-cpu-cooler-rrg5v220pkr1,No,Cooler Master,GeminII S524 Ver 2,Cooler Master GeminII S524 Ver 2 65.0 CFM CPU Cooler,22.0 dbA,RR-G5V2-20PK-R1,"[38.99, 39.99, 39.99, 39.99, 39.99, 39.99, 42.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",40.2757142857,cooler-master-cpu-cooler-rrg5v220pkr1,22.0 ,22.0 ,22.0,2000 ,2000.0,2000.0,No,0.0,,105.0
,400 - 1400 RPM,"6.14"" (156mm)",CPU Cooler,/product/kNK7YJ/scythe-cpu-cooler-scmg4000,No,Scythe,Mugen 4,Scythe Mugen 4 79.0 CFM CPU Cooler,5.3 - 28.0 dbA,SCMG-4000,"[47.89, 47.99, 53.63, 47.95]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",49.365,scythe-cpu-cooler-scmg4000,5.3 - 28.0 ,28.0,5.3,400 - 1400 ,400.0,1400.0,No,0.0,,156.0
,2500 RPM,"2.28"" (58mm)",CPU Cooler,/product/sV38TW/silverstone-cpu-cooler-ar06,No,Silverstone,,Silverstone AR06 40.2 CFM CPU Cooler,20.0 - 28.3 dbA,AR06<br/>(or) SST-AR06<br/>(or) 90115,"[39.99, 39.99, 39.99, 39.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156",39.99,silverstone-cpu-cooler-ar06,20.0 - 28.3 ,28.3,20.0,2500 ,2500.0,2500.0,No,0.0,,58.0
,600 - 2200 RPM,"4.92"" (125mm)",CPU Cooler,/product/Gqp323/cryorig-cpu-cooler-m9a,No,CRYORIG,,CRYORIG M9a 48.4 CFM CPU Cooler,26.4 dbA,M9a<br/>(or) CR-M9A,"[19.99, 19.99, 29.88, 29.98]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",24.96,cryorig-cpu-cooler-m9a,26.4 ,26.4 ,26.4,600 - 2200 ,600.0,2200.0,No,0.0,,125.0
Rifle,800 - 1300 RPM,"6.30"" (160mm)",CPU Cooler,/product/WBmxFT/cooler-master-cpu-cooler-rrh6v213pkr1,No,Cooler Master,Hyper 612 Ver.2,Cooler Master Hyper 612 Ver.2 44.2 CFM Rifle Bearing CPU Cooler,11.0 - 20.0 dbA,RR-H6V2-13PK-R1,"[38.0, 38.0, 45.99, 43.32]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",41.3275,cooler-master-cpu-cooler-rrh6v213pkr1,11.0 - 20.0 ,20.0,11.0,800 - 1300 ,800.0,1300.0,No,0.0,Rifle,160.0
,600 - 1850 RPM,,CPU Cooler,/product/2z7CmG/cryorig-cpu-cooler-a80,Yes,CRYORIG,,CRYORIG A80 128.0 CFM Liquid CPU Cooler,13.0 - 38.0 dbA,A80<br/>(or) CR-A8A,"[123.89, 124.45, 124.5]",280mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3",124.28,cryorig-cpu-cooler-a80,13.0 - 38.0 ,38.0,13.0,600 - 1850 ,600.0,1850.0,Yes,280.0,,0.0
,1200 - 1600 RPM,"3.66"" (93mm)",CPU Cooler,/product/PP4gXL/noctua-cpu-cooler-nhl12,No,Noctua,,Noctua NH-L12 37.8 CFM CPU Cooler,13.1 - 22.4 dbA,NH-L12,"[56.88, 56.94, 62.86, 69.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",61.6675,noctua-cpu-cooler-nhl12,13.1 - 22.4 ,22.4,13.1,1200 - 1600 ,1200.0,1600.0,No,0.0,,93.0
,900 - 1200 RPM,"6.73"" (171mm)",CPU Cooler,/product/wdkD4D/phanteks-cpu-cooler-phtc14pebk,No,Phanteks,,Phanteks PH-TC14PE_BK 78.1 CFM CPU Cooler,13.4 - 19.0 dbA,PH-TC14PE_BK,"[74.99, 79.99, 84.98, 74.99, 96.99]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",82.388,phanteks-cpu-cooler-phtc14pebk,13.4 - 19.0 ,19.0,13.4,900 - 1200 ,900.0,1200.0,No,0.0,,171.0
Ball,600 - 2500 RPM,,CPU Cooler,/product/Nk4gXL/enermax-cpu-cooler-elclt120xhp,Yes,Enermax,Liqtech 120X,Enermax Liqtech 120X 111.0 CFM Ball Bearing Liquid CPU Cooler,15.0 - 30.0 dbA,ELC-LT120X-HP,"[71.99, 75.25, 89.99]",120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA775",79.0766666667,enermax-cpu-cooler-elclt120xhp,15.0 - 30.0 ,30.0,15.0,600 - 2500 ,600.0,2500.0,Yes,120.0,Ball,0.0
Rifle,2900 RPM,"2.48"" (63mm)",CPU Cooler,/product/7b9KHx/thermaltake-cpu-cooler-clp0503,No,Thermaltake,,Thermaltake CL-P0503 18.6 CFM Rifle Bearing CPU Cooler,29.6 dbA,CL-P0503,"[5.99, 9.66, 9.88, 9.99, 9.99, 9.66]",,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",9.195,thermaltake-cpu-cooler-clp0503,29.6 ,29.6 ,29.6,2900 ,2900.0,2900.0,No,0.0,Rifle,63.0
