Efficiency,Efficiency Certification,Fans,Kind,Link,Manufacturer,Model,Modular,Name,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part #,Prices,Type,Wattage,avg,short_link,power,eff_rank,ppw
&gt; 80%,80+,1,Power Supply,/product/xKmLrH/silverstone-power-supply-st40fes,Silverstone,,No,Silverstone Strider Essential 400W 80+ Certified ATX Power Supply,"+3.3V@24A, +5V@20A, +12V@25A, -12V@0.3A, +5VSB@2.5A",,2,,ST40F-ES<br/>(or) SST-ST40F-ES,[],ATX12V,400 Watts,0.0,silverstone-power-supply-st40fes,400.0,1.0,0.0
,80+ Gold,1,Power Supply,/product/DmPzK8/corsair-power-supply-cp9020086,Corsair,CS850M,Semi,Corsair 850W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@70.8A, -12V@0.8A, +5VSB@3A",4,,,CP-9020086<br/>(or) CP-9020086-UK,[109.99],ATX12V / EPS12V,850 Watts,109.99,corsair-power-supply-cp9020086,850.0,4.0,0.1294
,80+ Gold,1,Power Supply,/product/dYJkcf/fractal-design-power-supply-fdpsued1b450w,Fractal Design,,Semi,Fractal Design Edison M 450W 80+ Gold Certified Semi-Modular ATX Power Supply,,1,,,FD-PSU-ED1B-450W,[],ATX,450 Watts,0.0,fractal-design-power-supply-fdpsued1b450w,450.0,4.0,0.0
,80+ Platinum,1,Power Supply,/product/7NGj4D/thermaltake-power-supply-pstpg1200fpcpusp,Thermaltake,,Full,Thermaltake Toughpower Grand 1200W 80+ Platinum Certified Fully-Modular ATX Power Supply,,8,,,PS-TPG-1200FPCPUS-P,"[214.99, 214.99, 228.99]",ATX12V / EPS12V,1200 Watts,219.656666667,thermaltake-power-supply-pstpg1200fpcpusp,1200.0,5.0,0.183047222222
,,2,Power Supply,/product/MQbp99/rosewill-power-supply-rd4002db,Rosewill,,No,Rosewill Stallion 400W ATX Power Supply,"+3.3V@20A, +5V@14A, +12V1@14A, +12V2@13A, -12V@0.3A, +5VSB@2.5A",,1,,RD400-2-DB,"[34.99, 34.99, 34.99]",ATX12V,400 Watts,34.99,rosewill-power-supply-rd4002db,400.0,,0.087475
,,1,Power Supply,/product/36rcCJ/zalman-power-supply-zm600tx,Zalman,,No,Zalman TX 600W ATX Power Supply,,4,,,ZM600-TX,[],ATX,600 Watts,0.0,zalman-power-supply-zm600tx,600.0,,0.0
,80+ Gold,1,Power Supply,/product/YVMFf7/lepa-power-supply-g700mb,LEPA,,Semi,LEPA MaxGold 700W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V@58A, -12V@0.3A, +5Vsb@2.5A",4,,,G700-MB,[],ATX12V / EPS12V,700 Watts,0.0,lepa-power-supply-g700mb,700.0,4.0,0.0
87%~90%(at 20%~100% loading),80+ Gold,1,Power Supply,/product/NH98TW/silverstone-power-supply-st1500gs,Silverstone,,Full,Silverstone 1500W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@70A, +12V2@70A, +5VSB@3.5V, -12V@0.3A",8,,,ST1500-GS<br/>(or) SST-ST1500-GS,"[326.99, 326.99]",ATX,1500 Watts,326.99,silverstone-power-supply-st1500gs,1500.0,4.0,0.217993333333
87-92%,80+ Gold,1,Power Supply,/product/t93RsY/thermaltake-power-supply-pstpg0850dpcgus1,Thermaltake,,Full,Thermaltake Toughpower 850W 80+ Gold Certified Fully-Modular ATX Power Supply,,6,,,PS-TPG-0850DPCGUS-1,[189.95],ATX12V / EPS12V,850 Watts,189.95,thermaltake-power-supply-pstpg0850dpcgus1,850.0,4.0,0.223470588235
,80+,1,Power Supply,/product/bZL7YJ/antec-power-supply-vp550f,Antec,,No,Antec 550W 80+ Certified ATX Power Supply,,2,,,VP550F,[127.5],ATX,550 Watts,127.5,antec-power-supply-vp550f,550.0,1.0,0.231818181818
