Efficiency,Efficiency Certification,Fans,Kind,Link,Manufacturer,Model,Modular,Name,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part #,Prices,Type,Wattage,avg,short_link,power,eff_rank,ppw
,80+ Gold,1,Power Supply,/product/VMzv6h/lepa-power-supply-g1000ma,LEPA,,Semi,LEPA 1000W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@30A, +12V2@30A, +12V3@30A, +12V4@30A, -12V@0.5A, +5VSB@3A",6,,,G1000-MA,[],ATX12V / EPS12V,1000 Watts,0.0,lepa-power-supply-g1000ma,1000.0,4.0,0.0
70%,,1,Power Supply,/product/vp7wrH/cooler-master-power-supply-rs400psarj3us,Cooler Master,,No,Cooler Master 400W ATX Power Supply,"+3.3V@20A, +5V@A16A, +12V1@16A, +12V2@16, -12V@0.8A, +5Vsb@2.5A",,1,,RS400-PSARJ3-US,[],ATX12V,400 Watts,0.0,cooler-master-power-supply-rs400psarj3us,400.0,,0.0
,,1,Power Supply,/product/h3xfrH/e-power-power-supply-ep500ls1,E-Power,,No,E-Power 500W ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@20A, +12V2@20A, -12V@0.5A, +5Vsb@2.5A",,,,EP-500LS-1,[],ATX12V,500 Watts,0.0,e-power-power-supply-ep500ls1,500.0,,0.0
,80+ Bronze,1,Power Supply,/product/3Kzv6h/nzxt-power-supply-np1bn0550a,NZXT,HALE82N 550W,No,NZXT HALE82N 550W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@22A, +12V@42A, -12V@0.5A, +5VSB@3.0A",2,,,NP-1BN-0550A,[],ATX12V / EPS12V,550 Watts,0.0,nzxt-power-supply-np1bn0550a,550.0,2.0,0.0
,80+ Bronze,1,Power Supply,/product/RL8Zxr/nzxt-power-supply-np1bn0650a,NZXT,HALE82N 650W,No,NZXT HALE82N 650W 80+ Bronze Certified ATX Power Supply,"+3.3V@28A, +5V@28A, +12V@50A, -12V@0.5A, +5VSB@3.5A",4,,,NP-1BN-0650A,[],ATX12V / EPS12V,650 Watts,0.0,nzxt-power-supply-np1bn0650a,650.0,2.0,0.0
&gt; 80%,80+,1,Power Supply,/product/6dQypg/antec-power-supply-ea500d,Antec,,No,Antec EarthWatts Green 500W 80+ Certified ATX Power Supply,"+3.3V@25A, +5V@24A, +12V1@22A, +12V2@22A, -12V@0.8A, +5VSB@2.5A",,2,,EA500D,[],ATX12V,500 Watts,0.0,antec-power-supply-ea500d,500.0,1.0,0.0
&gt; 80%,80+,1,Power Supply,/product/zR3RsY/antec-power-supply-ea750,Antec,,No,Antec EarthWatts 750W 80+ Certified ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@25A, +12V2@25A, +12V3@25A, 12V4@25A, -12V@0.5A, +5Vsb@3A",2,2,,EA750,[],ATX12V,750 Watts,0.0,antec-power-supply-ea750,750.0,1.0,0.0
80-83%,80+ Bronze,1,Power Supply,/product/4hphP6/antec-power-supply-sg850,Antec,,Full,Antec Signature 850W 80+ Bronze Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@22A, +12V2@22A, +12V3@25A, +12V4@25A, -12V@0.5A, +5VSB@3.0A",2,2,,SG-850,[],ATX12V / EPS12V,850 Watts,0.0,antec-power-supply-sg850,850.0,2.0,0.0
,80+ Bronze,1,Power Supply,/product/nrg323/antec-power-supply-tp650,Antec,,Full,Antec TruePower New 650W 80+ Bronze Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@22A, +12V2@22A, +12V3@25A, +12V4@25A, -12V@0.8A, +5VSB@3.0A",2,2,,TP-650,[],ATX12V / EPS12V,650 Watts,0.0,antec-power-supply-tp650,650.0,2.0,0.0
&lt; 85%,80+ Bronze,1,Power Supply,/product/DFkD4D/antec-power-supply-tpq850,Antec,,Full,Antec TruePower Quattro 850W 80+ Bronze Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@30A, +12V1@25A, +12V2@25A, +12V3@25A, +12V4@25A, -12V@0.5A, +5VSB@3.0A",2,2,,TPQ-850,[],ATX12V / EPS12V,850 Watts,0.0,antec-power-supply-tpq850,850.0,2.0,0.0
90% Typical,80+ Gold,1,Power Supply,/product/MfJwrH/evga-power-supply-220g20750xr,EVGA,SuperNOVA 750,Full,EVGA 750W 80+ Gold Certified Fully-Modular ATX Power Supply,+5V@24A +3.3V@24A +12V@62.4A&lt;br/&gt;-12V@0.5A +5Vsb@2.5A,4,,,220-G2-0750-XR,"[119.88, 99.99, 101.99, 99.99, 99.99, 112.99, 124.99, 129.99]",ATX12V / EPS12V,750 Watts,111.22625,evga-power-supply-220g20750xr,750.0,4.0,0.148301666667
&lt; 92%,80+ Platinum,1,Power Supply,/product/vkYXsY/corsair-power-supply-ax1200i,Corsair,,Full,Corsair 1200W 80+ Platinum Certified Fully-Modular ATX Power Supply,"+3.3V@30A, +5V@30A, +12V@100.4A, -12V@0.8A, +5VSB@3.5A",6,,,AX1200i<br/>(or) CP-9020008-NA<br/>(or) CP-9020008-UK<br/>(or) CMPSU-AX1200i<br/>(or) CP-9020008-AU,"[310.38, 310.38, 349.99, 384.99, 412.99]",ATX12V / EPS12V,1200 Watts,353.746,corsair-power-supply-ax1200i,1200.0,5.0,0.294788333333
&gt; 70%,,2,Power Supply,/product/y7jG3C/apevia-power-supply-atxas500wgn,Apevia,,No,Apevia 500W ATX Power Supply,"+3.3V@28A, +5V@30A, +12V1@16A, +12V2@18A, -5V@0.3A, -12V@0.8A, +5VSB@2A",,,,ATX-AS500W-GN,[],ATX,500 Watts,0.0,apevia-power-supply-atxas500wgn,500.0,,0.0
,,1,Power Supply,/product/tbg323/apevia-power-supply-atxtl450w,Apevia,,No,Apevia 450W ATX Power Supply,"+3.3V@30A, +5V@35A, +12V1@15A, +12V2@16A, -12V@0.8A, +5VSB@2.0A",,,,ATX-TL450W,[],ATX12V,450 Watts,0.0,apevia-power-supply-atxtl450w,450.0,,0.0
,,1,Power Supply,/product/gHg323/apevia-power-supply-atxtl450wbk,Apevia,,No,Apevia 450W ATX Power Supply,"+3.3V@30A, +5V@35A, +12V1@15A, +12V2@16A, -12V@0.8A, +5VSB@2.0A",,,,ATX-TL450W-BK,[],ATX12V,450 Watts,0.0,apevia-power-supply-atxtl450wbk,450.0,,0.0
&lt; 84%,,2,Power Supply,/product/W8Bv6h/compucase-power-supply-xpowerpro600,HEC,,No,HEC 600W ATX Power Supply,"+3.3V@24A, +5V@15A, +12V1@30A, +12V2@22A, -12V@0.3A, +5VSB@2.5A",1,1,,X-Power Pro 600,[],ATX12V,600 Watts,0.0,compucase-power-supply-xpowerpro600,600.0,,0.0
&gt; 85%,,2,Power Supply,/product/6FkD4D/compucase-power-supply-xpowerpro650,HEC,,No,HEC 650W ATX Power Supply,"+3.3V@26A, +5V@18A, +12V1@30A, +12V2@26A, -12V@0.3A, +5VSB@2.5A",1,1,,X-Power Pro 650,[],ATX12V / EPS12V,650 Watts,0.0,compucase-power-supply-xpowerpro650,650.0,,0.0
&lt; 87%,,1,Power Supply,/product/BdQypg/compucase-power-supply-xp1080,HEC,,Full,HEC 1080W Fully-Modular ATX Power Supply,"+3.3V@24A, +5V@30A, +12V1@22A, +12V2@22A, +12V3@26A, +12V4@26A, -12V@0.5A, +5VSB@3.0A",2,2,,XP1080,[],ATX12V / EPS12V,1080 Watts,0.0,compucase-power-supply-xp1080,1080.0,,0.0
&lt; 87%,,1,Power Supply,/product/T9zv6h/compucase-power-supply-xpower780,HEC,,No,HEC 600W ATX Power Supply,"+3.3V@24A, +5V@17A, +12V1@24A, +12V2@24A, +12V3@24A, -12V@0.5A, +5VSB@3.0A",1,1,,XPOWER780,[],ATX12V / EPS12V,600 Watts,0.0,compucase-power-supply-xpower780,600.0,,0.0
,,2,Power Supply,/product/Yzckcf/compucase-power-supply-xpower585retail,HEC,,No,HEC 585W ATX Power Supply,,,,,XPOWER585 RETAIL,[],ATX12V,585 Watts,0.0,compucase-power-supply-xpower585retail,585.0,,0.0
&lt; 84%,,1,Power Supply,/product/4vxfrH/compucase-power-supply-zephyr650,HEC,,No,HEC 650W ATX Power Supply,,,2,,ZEPHYR650,[],ATX12V / EPS12V,650 Watts,0.0,compucase-power-supply-zephyr650,650.0,,0.0
84%,80+ Bronze,1,Power Supply,/product/ffBv6h/compucase-power-supply-zephyrmx750,HEC,,No,HEC 750W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@30A, +12V1@19A, +12V2@19A, +12V3@19A, +12V4@19A, -12V@0.5A, +5VSB@3.0A",2,2,,Zephyr MX-750,[],ATX12V / EPS12V,750 Watts,0.0,compucase-power-supply-zephyrmx750,750.0,2.0,0.0
&gt; 80%,80+ Bronze,1,Power Supply,/product/hgGkcf/corsair-power-supply-cx500,Corsair,,No,Corsair Builder 500W 80+ Bronze Certified ATX Power Supply,"+3.3V@25A, +5V@20A, +12V@38A, -12V@0.8A, +5VSB@3.0A",2,,,CX500<br/>(or) CP-9020047-UK<br/>(or) CP-9020047-AU<br/>(or) CP-9020047-US<br/>(or) CP-9020047-EU,"[49.99, 54.34, 54.99, 47.99, 59.88, 78.99]",ATX12V,500 Watts,57.6966666667,corsair-power-supply-cx500,500.0,2.0,0.115393333333
85%,80+ Bronze,1,Power Supply,/product/sCh9TW/cooler-master-power-supply-rs750acaae3us,Cooler Master,,No,Cooler Master GX 750W 80+ Bronze Certified ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@60A, -12V@0.5A, +5VSB@2.5A",4,,,RS750-ACAAE3-US,[],ATX12V,750 Watts,0.0,cooler-master-power-supply-rs750acaae3us,750.0,2.0,0.0
85%,80+ Bronze,1,Power Supply,/product/dYGkcf/cooler-master-power-supply-rs850ambaj3us,Cooler Master,,Semi,Cooler Master Silent Pro M 850W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@22A, +5V@22A, +12V@66A, -12V@0.3A, +5VSB@3.0A",6,,,RS850-AMBAJ3-US,[],ATX12V / EPS12V,850 Watts,0.0,cooler-master-power-supply-rs850ambaj3us,850.0,2.0,0.0
,,1,Power Supply,/product/p4W9TW/coolmax-power-supply-ca300,CoolMax,,No,CoolMax 300W ATX Power Supply,"+3.3V@28A, +5V@30A, +12V@15A, -12V@0.8A, +5VSB@2.0A",,,,CA-300,[],ATX,300 Watts,0.0,coolmax-power-supply-ca300,300.0,,0.0
,,1,Power Supply,/product/qyzv6h/coolmax-power-supply-ca450,CoolMax,,No,CoolMax 450W ATX Power Supply,"+3.3V@21A, +5V@20A, +12V1@18A, +12V2@18A, -12V@0.5A, +5VSB@2.5A",,,,CA-450,[32.37],ATX,450 Watts,32.37,coolmax-power-supply-ca450,450.0,,0.0719333333333
,,2,Power Supply,/product/FhphP6/coolmax-power-supply-ct450silver,CoolMax,,No,CoolMax 450W ATX Power Supply,"+3.3V@30A, +5V@45A, +12V1@17A, +12V2@16A, -12V@1A, +5VSB@2.5A",,1,,CT-450 (silver),[],ATX12V,450 Watts,0.0,coolmax-power-supply-ct450silver,450.0,,0.0
,,1,Power Supply,/product/xmckcf/coolmax-power-supply-cul650b,CoolMax,,Semi,CoolMax 650W Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@26A, +12V1@16A, +12V2@16A, +12V3@16A, -12V@0.5A, +5VSB@2.5A",,1,,CUL-650B,[],ATX12V / EPS12V,650 Watts,0.0,coolmax-power-supply-cul650b,650.0,,0.0
&lt; 80%,,1,Power Supply,/product/hsdqqs/visiontek-power-supply-900488,VisionTek,,Full,VisionTek 550W Fully-Modular ATX Power Supply,"+3.3V@28A, +5V@40A, +12V1@20A, +12V2@20A, -12V@1.0A, +5VSB@2.5A",,2,,900488,[],ATX12V,550 Watts,0.0,visiontek-power-supply-900488,550.0,,0.0
&lt; 80%,80+,1,Power Supply,/product/zxMFf7/corsair-power-supply-cmpsu1000hx,Corsair,HX1000,Semi,Corsair Professional 1000W 80+ Certified Semi-Modular ATX Power Supply,"+3.3V@30A, +5V30A, +12V1@40A, +12V2@40A, -12V@0.8A, +5VSB@3.5A",6,,,CMPSU-1000HX,"[249.89, 249.99]",ATX12V / EPS12V,1000 Watts,249.94,corsair-power-supply-cmpsu1000hx,1000.0,1.0,0.24994
&lt; 85%,80+ Bronze,1,Power Supply,/product/wnvRsY/corsair-power-supply-cmpsu950tx,Corsair,TX950,No,Corsair Enthusiast 950W 80+ Bronze Certified ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@78A, -12V@0.8A, +5VSB@3.0A",6,,,CMPSU-950TX,[159.99],ATX12V / EPS12V,950 Watts,159.99,corsair-power-supply-cmpsu950tx,950.0,2.0,0.168410526316
&gt; 80%,80+ Bronze,1,Power Supply,/product/CcK7YJ/dynapower-power-supply-ej750a80,Dynapower,,Full,Dynapower 750W 80+ Bronze Certified Fully-Modular ATX Power Supply,"+3.3V@30A, +5V@28A, +12V1@18A, +12V2@18A, +12V3@18A, +12V4@18A, -12V@0.8A, +5VSB@3.0A",4,,,EJ-750A80,[109.99],ATX12V / EPS12V,750 Watts,109.99,dynapower-power-supply-ej750a80,750.0,2.0,0.146653333333
,80+ Bronze,1,Power Supply,/product/R2mxFT/corsair-power-supply-cp9020103na,Corsair,CX650M,Semi,Corsair CXM 650W 80+ Bronze Certified Semi-Modular ATX Power Supply,,2,,,CP-9020103-NA,"[80.98, 69.99, 119.99]",ATX,650 Watts,90.32,corsair-power-supply-cp9020103na,650.0,2.0,0.138953846154
&gt; 68%,,1,Power Supply,/product/sfBv6h/dynapower-power-supply-ep45x0562b,Dynapower,,No,Dynapower 450W ATX Power Supply,"+3.3V@28A, +5V@40A, +12V@17A, -12V@0.8A, +5VSB@2A",,,,EP-45X.0562B,[],ATX12V,450 Watts,0.0,dynapower-power-supply-ep45x0562b,450.0,,0.0
,80+ Bronze,1,Power Supply,/product/dWR48d/enermax-power-supply-egx1250ewt,Enermax,,Semi,Enermax 1250W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@30A, +12V2@30A, +12V3@30A, +12V4@30A, +12V5@30A, +12V6@30A, -12V@0.6A, +5VSB@5A",2,,,EGX1250EWT,[],ATX12V / EPS12V,1250 Watts,0.0,enermax-power-supply-egx1250ewt,1250.0,2.0,0.0
82-88%,80+ Bronze,1,Power Supply,/product/JXQypg/enermax-power-supply-emd625awtii,Enermax,,Full,Enermax 625W 80+ Bronze Certified Fully-Modular ATX Power Supply,,4,,,EMD625AWT_II,[],ATX12V / EPS12V,625 Watts,0.0,enermax-power-supply-emd625awtii,625.0,2.0,0.0
,80+ Gold,1,Power Supply,/product/vFkD4D/enermax-power-supply-emg700awt,Enermax,,Full,Enermax 700W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@20A, +5V@20A, +12V1@25A, +12V2@25A, +12V3@25A, -12V@0.5A, +5VSB@3.0A",4,,,EMG700AWT,[],ATX12V / EPS12V,700 Watts,0.0,enermax-power-supply-emg700awt,700.0,4.0,0.0
82-88%,80+ Bronze,1,Power Supply,/product/pnvRsY/enermax-power-supply-epr525awtii,Enermax,,No,Enermax 525W 80+ Bronze Certified ATX Power Supply,,3,,,EPR525AWT_II,[],ATX12V,525 Watts,0.0,enermax-power-supply-epr525awtii,525.0,2.0,0.0
&lt; 80%,80+,1,Power Supply,/product/QnvRsY/gigabyte-power-supply-gep450pc2,Gigabyte,,No,Gigabyte 550W 80+ Certified ATX Power Supply,"+3.3V@22A,+5V@25A,+12V1@18A,+12V2@18A,-12V@0.5A, +5VSB@2.5A",1,,,GE-P450P-C2,[],ATX12V,550 Watts,0.0,gigabyte-power-supply-gep450pc2,550.0,1.0,0.0
&lt; 88%,80+,1,Power Supply,/product/F9zv6h/inwin-power-supply-irpcom1200,Inwin,,Full,Inwin Commander 1200W 80+ Certified Fully-Modular ATX Power Supply,"+3.3V@30A, +5V@30A, +12V1@20A, +12V2@20A, +12V3@36A, +12V4@36A, -12V@0.8A, +5VSB@3.5A",8,,,IRP-COM1200,[],ATX12V / EPS12V,1200 Watts,0.0,inwin-power-supply-irpcom1200,1200.0,1.0,0.0
82%,80+,1,Power Supply,/product/3nvRsY/ocz-power-supply-ocz1000exs,OCZ,,No,OCZ EliteXStream 1000W 80+ Certified ATX Power Supply,"+3.3V@28A, +5V@30A, +12V@80A, -12V@0.5A, +5VSB@4.0A",4,,,OCZ1000EXS,[],ATX12V / EPS12V,1000 Watts,0.0,ocz-power-supply-ocz1000exs,1000.0,1.0,0.0
85%,80+ Bronze,1,Power Supply,/product/k3DwrH/ocz-power-supply-ocz750fty,OCZ,,Semi,OCZ Fatal1ty 750W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@28A, +5V@30A, +12V1@18A, +12V2@18A,+12V3@18A,+12V4@18A,-12V@0.8A, +5VSB@3.0A",4,,,OCZ750FTY,[],ATX12V / EPS12V,750 Watts,0.0,ocz-power-supply-ocz750fty,750.0,2.0,0.0
80-87%,80+,1,Power Supply,/product/cRdqqs/sparkle-power-supply-spi460pfb2mc2,Sparkle,,No,Sparkle 460W 80+ Certified ATX Power Supply,"+3.3V@22A, +5V@20A, +12V1@16A, +12V2@16A, -12V@0.5A, +5VSB@2.5A",,1,,SPI460PFB2-MC2,[],ATX12V,460 Watts,0.0,sparkle-power-supply-spi460pfb2mc2,460.0,1.0,0.0
&lt; 92%,80+ Gold,1,Power Supply,/product/47mLrH/corsair-power-supply-rm750,Corsair,,Full,Corsair RM 750W 80+ Gold Certified Fully-Modular ATX Power Supply,,4,,,RM750<br/>(or) CP-9020055-UK<br/>(or) CP-9020055-WW<br/>(or) CP-9020055-NA<br/>(or) CP-9020055-EU,[139.99],ATX12V / EPS12V,750 Watts,139.99,corsair-power-supply-rm750,750.0,4.0,0.186653333333
82-85%,80+ Bronze,1,Power Supply,/product/JDH323/rosewill-power-supply-rg700s12,Rosewill,,No,Rosewill Green 700W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@24A, +12V@54A, -12V@0.5A, +5VSB@2.5A",1,1,,RG700-S12,[],ATX12V / EPS12V,700 Watts,0.0,rosewill-power-supply-rg700s12,700.0,2.0,0.0
&gt; 72%,,1,Power Supply,/product/hLTmP6/rosewill-power-supply-rv2700,Rosewill,,No,Rosewill 700W ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@28A, +12V2@28A, -12V@0.5A, +5VSB@2.5A",1,1,,RV2-700,[],ATX12V / EPS12V,700 Watts,0.0,rosewill-power-supply-rv2700,700.0,,0.0
&gt; 80%,,1,Power Supply,/product/KQbp99/silverstone-power-supply-da700,Silverstone,,Full,Silverstone 700W Fully-Modular ATX Power Supply,"+3.3V@24A, +5V@30A, +12V@58A, -12V@0.5A, +5VSB@4.0A",,4,1,DA700,[],ATX12V / EPS12V,700 Watts,0.0,silverstone-power-supply-da700,700.0,,0.0
&gt; 80%,,1,Power Supply,/product/QvxfrH/silverstone-power-supply-da750,Silverstone,,Full,Silverstone 750W Fully-Modular ATX Power Supply,"+3.3V@28A, +5V@30A, +12V@60A, -12V@0.5A, +5VSB@4.0A",,4,1,DA750,[],ATX12V / EPS12V,750 Watts,0.0,silverstone-power-supply-da750,750.0,,0.0
&gt; 80%,,1,Power Supply,/product/FnvRsY/silverstone-power-supply-op1000e,Silverstone,,No,Silverstone 1000W ATX Power Supply,"+3.3V@28A, +5V@30A, +12V@80A, -12V@0.5A, +5VSB@4.0A",2,4,,OP1000-E,[],ATX12V / EPS12V,1000 Watts,0.0,silverstone-power-supply-op1000e,1000.0,,0.0
&gt; 80%,,1,Power Supply,/product/RXQypg/silverstone-power-supply-op750,Silverstone,,No,Silverstone 750W ATX Power Supply,"+3.3V@28A, +5V@30A, +12V@60A, -12V@0.5A, +5VSB@4.0A",,4,1,OP750,[],ATX12V / EPS12V,750 Watts,0.0,silverstone-power-supply-op750,750.0,,0.0
&gt; 80%,,1,Power Supply,/product/7J9KHx/silverstone-power-supply-op850,Silverstone,,No,Silverstone 850W ATX Power Supply,"+3.3V@28A, +5V@30A, +12V@70A, -12V@0.5A, +5VSB@4.0A",,4,2,OP850,[],ATX12V / EPS12V,850 Watts,0.0,silverstone-power-supply-op850,850.0,,0.0
&gt; 80%,80+,1,Power Supply,/product/mhphP6/silverstone-power-supply-st1200,Silverstone,,Full,Silverstone Strider 1200W 80+ Certified Fully-Modular ATX Power Supply,"+3.3V@40A, +5V@40A, +12V1@28A, +12V2@28A, +12V3@20A, +12V4@20A, +12V5@20A, +12V6@28A, -12V@0.8A, +5VSB@6.0A",2,4,,ST1200<br/>(or) SST-ST1200,[],ATX12V / EPS12V,1200 Watts,0.0,silverstone-power-supply-st1200,1200.0,1.0,0.0
90%,80+ Gold,1,Power Supply,/product/nyMFf7/xclio-power-supply-stablepowergold1000w,XClio,,Full,XClio 1000W 80+ Gold Certified Fully-Modular ATX Power Supply,"+5V@25A, +3.3V@25A, +12V@83A, -12V@0.3A, +5VSB@3.5A",4,2,,STABLEPOWER GOLD 1000W,[],ATX12V / EPS12V,1000 Watts,0.0,xclio-power-supply-stablepowergold1000w,1000.0,4.0,0.0
,,1,Power Supply,/product/Z3DwrH/sunbeam-power-supply-icpsuus2545dw,Sunbeam,,No,Sunbeam 450W ATX Power Supply,"+3.3V@28A, +5V@40A, +12V1@20A, -12V@0.8A, +5VSB@2.0A",,,,IC-PSU-US-2545-DW,[],ATX,450 Watts,0.0,sunbeam-power-supply-icpsuus2545dw,450.0,,0.0
,80+ Platinum,1,Power Supply,/product/NNcMnQ/super-flower-power-supply-sf2000f14hp,Super Flower,,Full,Super Flower Leadex 2000W 80+ Platinum Certified Fully-Modular ATX Power Supply,,14,,,SF-2000F14HP<br/>(or) SF-2000F14HP(BK),[],ATX,2000 Watts,0.0,super-flower-power-supply-sf2000f14hp,2000.0,5.0,0.0
78%,,1,Power Supply,/product/fgW9TW/sunbeam-power-supply-psucom680bkus,Sunbeam,,Full,Sunbeam 680W Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@28A, +12V2@28A, -12V@0.3A, +5VSB@2.5A",2,,,PSU-COM680-BK-US,[],ATX12V,680 Watts,0.0,sunbeam-power-supply-psucom680bkus,680.0,,0.0
80%,80+,1,Power Supply,/product/NHg323/sunbeam-power-supply-psueco750usbl,Sunbeam,,No,Sunbeam 750W 80+ Certified ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@30A, +12V2@30A, -12V@0.3A, +5VSB@2.5A",4,,,PSU-ECO750-US-BL,[],ATX12V,750 Watts,0.0,sunbeam-power-supply-psueco750usbl,750.0,1.0,0.0
,,1,Power Supply,/product/LXQypg/sunbeam-power-supply-psuh680revus,Sunbeam,,No,Sunbeam 680W ATX Power Supply,"+3.3V@30A, +5V@28A, +12V1@20A, +12V2@20A, -12V@0.3A, +5VSB@2.5A",,1,,PSU-H680-REV-US,[],ATX12V,680 Watts,0.0,sunbeam-power-supply-psuh680revus,680.0,,0.0
,,1,Power Supply,/product/Gzckcf/sunbeam-power-supply-psuh680revusbl,Sunbeam,,No,Sunbeam 680W ATX Power Supply,"+3.3V@30A, +5V@28A, +12V1@20A, +12V2@20A, -12V@0.3A, +5VSB@2.5A",,1,,PSU-H680-REV-US-BL,[],ATX12V,680 Watts,0.0,sunbeam-power-supply-psuh680revusbl,680.0,,0.0
85-91%,80+ Silver,1,Power Supply,/product/wfBv6h/thermaltake-power-supply-tp1350m,Thermaltake,,Semi,Thermaltake Toughpower 1350W 80+ Silver Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@60A, +12V2@60A, -12V@0.8A, +5VSB@3.5A",6,,,TP-1350M,[],ATX12V / EPS12V,1350 Watts,0.0,thermaltake-power-supply-tp1350m,1350.0,3.0,0.0
&gt; 80%,80+,1,Power Supply,/product/HtTmP6/thermaltake-power-supply-trx1000m,Thermaltake,,Semi,Thermaltake TR2 1000W 80+ Certified Semi-Modular ATX Power Supply,,,3,3,TRX-1000M,[],ATX12V / EPS12V,1000 Watts,0.0,thermaltake-power-supply-trx1000m,1000.0,1.0,0.0
&lt; 87%,80+,1,Power Supply,/product/KVzv6h/thermaltake-power-supply-w0133ru,Thermaltake,,Full,Thermaltake Toughpower 1200W 80+ Certified Fully-Modular ATX Power Supply,"+3.3V@30A, +5V@30A, +12V1@20A, +12V2@20A, +12V3@36A, +12V4@36A, -12V@0.8A, +5VSB@3.5A",,3,3,W0133RU,[],ATX12V / EPS12V,1200 Watts,0.0,thermaltake-power-supply-w0133ru,1200.0,1.0,0.0
75%,,1,Power Supply,/product/Q2CwrH/thermaltake-power-supply-w0306ru,Thermaltake,,Full,Thermaltake Evo Blue 550W Fully-Modular ATX Power Supply,,,2,1,W0306RU,[],ATX12V / EPS12V,550 Watts,0.0,thermaltake-power-supply-w0306ru,550.0,,0.0
75%,,1,Power Supply,/product/3G4gXL/thermaltake-power-supply-w0308ru,Thermaltake,,Full,Thermaltake Evo Blue 750W Fully-Modular ATX Power Supply,,,2,2,W0308RU,[],ATX12V / EPS12V,750 Watts,0.0,thermaltake-power-supply-w0308ru,750.0,,0.0
&gt; 85%,80+ Bronze,1,Power Supply,/product/82CwrH/xfx-power-supply-p1650xcah9,XFX,,Full,XFX 650W 80+ Bronze Certified Fully-Modular ATX Power Supply,,3,1,,P1-650X-CAH9,[],ATX12V / EPS12V,650 Watts,0.0,xfx-power-supply-p1650xcah9,650.0,2.0,0.0
,,1,Power Supply,/product/b78H99/deepcool-power-supply-dn400,Deepcool,,No,Deepcool 400W ATX Power Supply,,1,,,DN400,[],ATX,400 Watts,0.0,deepcool-power-supply-dn400,400.0,,0.0
89-92%,80+ Platinum,1,Power Supply,/product/DQ4gXL/kingwin-power-supply-lzp650,Kingwin,,Semi,Kingwin Lazer Platinum 650W 80+ Platinum Certified Semi-Modular ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@54A, -12V@0.5A, +5VSB@2.5A",2,2,,LZP-650,[],ATX12V / EPS12V,650 Watts,0.0,kingwin-power-supply-lzp650,650.0,5.0,0.0
,80+ Gold,0,Power Supply,/product/DsNp99/seasonic-power-supply-ss400fl,SeaSonic,,Full,SeaSonic X Series 400W 80+ Gold Certified Fully-Modular Fanless ATX Power Supply,,1,,,SS-400FL,[],ATX12V / EPS12V,400 Watts,0.0,seasonic-power-supply-ss400fl,400.0,4.0,0.0
&lt; 93%,80+ Platinum,1,Power Supply,/product/8z3RsY/antec-power-supply-ea450,Antec,,No,Antec EarthWatts Platinum 450W 80+ Platinum Certified ATX Power Supply,"+5V@16A, +3.3V@16A, +12V1@30A, +12V2@30A, -12V@0.3A, +5VSB@3A",2,,,EA-450,[],ATX12V / EPS12V,450 Watts,0.0,antec-power-supply-ea450,450.0,5.0,0.0
82%,80+ Bronze,1,Power Supply,/product/hG8Zxr/xion-power-supply-axp850k14xe,Xion,,Semi,Xion 850W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3@28A, +5V@30A, +12V1@20A, +12V2@20A+12V3@30A ,+12V4@30A, -12V@0.3A, +5VSB@3.0A",1,1,,AXP-850K14XE,[],ATX,850 Watts,0.0,xion-power-supply-axp850k14xe,850.0,2.0,0.0
,,2,Power Supply,/product/HbJwrH/topower-power-supply-zu650w,Topower,,No,Topower 650W ATX Power Supply,"+3.3V@30A,+5V@54A,+12V1@20A,+12V2@20A,-12V@0.8A,-5@0.5A,+5VSB@3A",,2,,ZU-650W,[],ATX12V / EPS12V,650 Watts,0.0,topower-power-supply-zu650w,650.0,,0.0
