Cores,Data Width,Hyper-Threading,Includes CPU Cooler,Integrated Graphics,Kind,L1 Cache,L2 Cache,L3 Cache,Link,Lithography,Manufacturer,Max Turbo Frequency,Maximum Supported Memory,Model,Name,Operating Frequency,Part #,Prices,Socket,Thermal Design Power,TDP,opfreq,turbo,avg,cores,short_link
2,64-bit,No,Yes,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 2MB,/product/wfbp99/intel-cpu-bx80623g540,32.0,Intel,,,Celeron G540,Intel Celeron G540 2.5GHz Dual-Core Processor,2.5GHz,BX80623G540,[],LGA1155,65 Watts,65.0,2500.0,0.0,0.0,2,intel-cpu-bx80623g540
4,64-bit,Yes,Yes,Intel HD Graphics 2000,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/nvyFf7/intel-cpu-bx80623i72600,32.0,Intel,,,Core i7-2600,Intel Core i7-2600 3.4GHz Quad-Core Processor,3.4GHz,BX80623I72600,[375.33],LGA1155,95 Watts,95.0,3400.0,0.0,375.33,4,intel-cpu-bx80623i72600
4,64-bit,Yes,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/94TmP6/intel-cpu-bx80601960,45.0,Intel,,,Core i7-960,Intel Core i7-960 3.2GHz Quad-Core Processor,3.2GHz,BX80601960,"[313.67, 449.0]",LGA1366,130 Watts,130.0,3200.0,0.0,381.335,4,intel-cpu-bx80601960
4,64-bit,Yes,No,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 10MB,/product/6xzv6h/intel-cpu-bx80619i73820,32.0,Intel,,,Core i7-3820,Intel Core i7-3820 3.6GHz Quad-Core Processor,3.6GHz,BX80619I73820,[],LGA2011,130 Watts,130.0,3600.0,0.0,0.0,4,intel-cpu-bx80619i73820
4,64-bit,No,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/R6zv6h/intel-cpu-bx80605i5760,45.0,Intel,,,Core i5-760,Intel Core i5-760 2.8GHz Quad-Core Processor,2.8GHz,BX80605I5760,[],LGA1156,95 Watts,95.0,2800.0,0.0,0.0,4,intel-cpu-bx80605i5760
2,64-bit,Yes,Yes,Intel HD Graphics 510,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/PyKhP6/intel-core-i3-6098p-36ghz-dual-core-processor-bx80662i36098p,14.0,Intel,,64GB,Core i3-6098P,Intel Core i3-6098P 3.6GHz Dual-Core Processor,3.6GHz,BX80662I36098P,[128.42],LGA1151,54 Watts,54.0,3600.0,0.0,128.42,2,intel-core-i3-6098p-36ghz-dual-core-processor-bx80662i36098p
2,64-bit,Yes,Yes,Intel HD Graphics 4600,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 4MB,/product/tLW9TW/intel-cpu-bx80646i34370,22.0,Intel,,,Core i3-4370,Intel Core i3-4370 3.8GHz Dual-Core Processor,3.8GHz,BX80646I34370,"[142.99, 154.88, 146.99]",LGA1150,54 Watts,54.0,3800.0,0.0,148.286666667,2,intel-cpu-bx80646i34370
8,64-bit,No,Yes,No,CPU,4 x 64KB Instruction<br/>8 x 16KB Data,4 x 2MB,1 x 8MB,/product/8j4NnQ/amd-cpu-fd837ewmhkbox,32.0,AMD,4.3GHz,,FX-8370E,AMD FX-8370E 3.3GHz 8-Core Processor,3.3GHz,FD837EWMHKBOX,"[189.99, 196.67, 209.99]",AM3+,95 Watts,95.0,3300.0,4300.0,198.883333333,8,amd-cpu-fd837ewmhkbox
2,64-bit,No,Yes,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 2MB,/product/W67wrH/intel-cpu-bx80646g1820,22.0,Intel,,,Celeron G1820,Intel Celeron G1820 2.7GHz Dual-Core Processor,2.7GHz,BX80646G1820,"[43.14, 51.99]",LGA1150,53 Watts,53.0,2700.0,0.0,47.565,2,intel-cpu-bx80646g1820
4,64-bit,No,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,2 x 3MB,None,/product/DPkD4D/intel-cpu-bx80580q9400,45.0,Intel,,,Core 2 Quad Q9400,Intel Core 2 Quad Q9400 2.66GHz Quad-Core Processor,2.66GHz,BX80580Q9400,"[159.49, 179.95]",LGA775,95 Watts,95.0,2660.0,0.0,169.72,4,intel-cpu-bx80580q9400
4,64-bit,No,Yes,Intel HD Graphics 4600,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/F63RsY/intel-cpu-bx80646i54460,22.0,Intel,3.4GHz,,Core i5-4460,Intel Core i5-4460 3.2GHz Quad-Core Processor,3.2GHz,BX80646I54460,"[173.49, 183.49, 183.54, 189.89, 200.99]",LGA1150,84 Watts,84.0,3200.0,3400.0,186.28,4,intel-cpu-bx80646i54460
