Alarm,Backup/Run Time (Full Load),Backup/Run Time (Half Load),Battery Chemistry,Battery Life,Dataline Protection,Emergency Power OFF,Form Factor,Hot Swappable,Input Voltage,Kind,Link,Load Capacity (VA),Load Capacity (W),Manufacturer,Maximum Battery Recharge Time,Name,Output Voltage,Part #,Prices,Protection Type,Rack Height,Receptacles,Serial Port,Switching Time,USB,Waveform Type,avg,short_link,load_cap_w,load_cap_va,max_batt_recharge_time,full_load,half_load
Battery Backup,3.50 Minutes,10 Minutes,,6 Year,RJ-11,,Cabinet,,110 V AC,UPS,/product/zBPzK8/tripp-lite-ups-internet550ser,550 VA,300 W,Tripp Lite,4 Hour,Tripp Lite INTERNET550SER UPS,120 V AC,INTERNET550SER,"[59.06, 63.98, 63.99, 59.99, 69.99]",Black Out<br/>Brownout,,8 x NEMA 5-15R,Yes,4 ms,,Pulse-width Modulated Sine Wave,63.402,tripp-lite-ups-internet550ser,300.0,550.0,4.0,3.5,10.0
,14 Minutes,32 Minutes,Sealed Lead Acid,6 Year,RJ-11,,Tower,,110 V AC,UPS,/product/K6X2FT/tripp-lite-ups-omnismart300pnp,300 VA,180 W,Tripp Lite,4 Hour,Tripp Lite OMNISMART300PNP UPS,120 V AC,OMNISMART300PNP,[100.13],,,3 x NEMA 5-15R,,4 ms,Yes,,100.13,tripp-lite-ups-omnismart300pnp,180.0,300.0,4.0,14.0,32.0
,6 Minutes,14 Minutes,,,,Yes,Tower/Rack Mountable,,110 V AC,UPS,/product/tccMnQ/tripp-lite-ups-smart1500crmxl,1500 VA,1440 W,Tripp Lite,3 Hour,Tripp Lite SMART1500CRMXL UPS,120 V AC,SMART1500CRMXL,"[752.99, 752.99, 727.44, 749.99]",,2U,8 x NEMA 5-15R,Yes,5.50 ms,Yes,,745.8525,tripp-lite-ups-smart1500crmxl,1440.0,1500.0,3.0,6.0,14.0
,3.50 Minutes,10 Minutes,,,,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/kCyxFT/tripp-lite-ups-smart3000rm2un,3000 VA,2250 W,Tripp Lite,4.50 Hour,Tripp Lite SMART3000RM2UN UPS,120 V AC,SMART3000RM2UN,"[1087.23, 1185.99, 1189.99]",,2U,1 x NEMA L5-30R<br/>8 x NEMA 5-15/20R,Yes,5 ms,Yes,,1154.40333333,tripp-lite-ups-smart3000rm2un,2250.0,3000.0,4.5,3.5,10.0
Battery Failure,3 Minutes,12 Minutes,Sealed Lead Acid,,,Yes,Tower,Yes,,UPS,/product/MWX2FT/apc-ups-srt10kxli,10000 VA,10000 W,APC,1.50 Hour,APC SRT10KXLI UPS,230 V AC,SRT10KXLI,[],Surge<br/>Spike<br/>Lightning,,,,,Yes,Sine Wave,0.0,apc-ups-srt10kxli,10000.0,10000.0,1.5,3.0,12.0
,8 Minutes,22 Minutes,,,,Yes,Tower,Yes,110 V AC<br/>220 V AC,UPS,/product/4RGj4D/tripp-lite-ups-su5000rt4u,5000 VA,3800 W,Tripp Lite,,Tripp Lite SU5000RT4U UPS,240 V AC<br/>208 V AC,SU5000RT4U,"[3065.98, 3152.55, 3065.0, 3298.99]",,4U,8 x NEMA L6-30R<br/>2 x NEMA 5-15/20R<br/>2 x NEMA L6-20R,,0 ns,Yes,,3145.63,tripp-lite-ups-su5000rt4u,3800.0,5000.0,0.0,8.0,22.0
,5 Minutes,14 Minutes,,,RJ-45,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/3f8H99/tripp-lite-ups-su1500rtxl2ua,1500 VA,1200 W,Tripp Lite,,Tripp Lite SU1500RTXL2UA UPS,120 V AC,SU1500RTXL2UA,"[582.33, 620.49, 650.98, 659.99, 645.99, 729.99]",,2U,6 x NEMA 5-15R,Yes,,Yes,,648.295,tripp-lite-ups-su1500rtxl2ua,1200.0,1500.0,0.0,5.0,14.0
On Battery<br/>Low Battery<br/>Overload<br/>UPS Fault,6 Minutes,17 Minutes,Sealed Lead Acid,6 Year,,Optional,Tower,,110 V AC,UPS,/product/4XH48d/tripp-lite-ups-su3000xl,3000 VA,2400 W,Tripp Lite,4 Hour,Tripp Lite SU3000XL UPS,120 V AC,SU3000XL,"[1111.32, 1180.99, 1219.99]",,,6 x NEMA 5-20R<br/>1 x NEMA L5-30R,,0 ns,,Sine Wave,1170.76666667,tripp-lite-ups-su3000xl,2400.0,3000.0,4.0,6.0,17.0
Power Failure<br/>Overload<br/>UPS Fault<br/>Low Battery,4.90 Minutes,13.60 Minutes,,6 Year,,Yes,Tower/Rack Mountable,Yes,220 V AC,UPS,/product/2KZ2FT/tripp-lite-ups-smx1500xlrt2u,1500 VA,1350 W,Tripp Lite,4 Hour,Tripp Lite SMX1500XLRT2U UPS,230 V AC,SMX1500XLRT2U,[750.87],,2U,8 x IEC 320 EN 60320 C13,Yes,4 ms,Yes,Sine Wave,750.87,tripp-lite-ups-smx1500xlrt2u,1350.0,1500.0,4.0,4.9,13.6
,10 Minutes,28 Minutes,,,RJ-11,Yes,Tower/Rack Mountable,Yes,220 V AC,UPS,/product/Gm8H99/tripp-lite-ups-smx5000xlrt3u,5000 VA,3750 W,Tripp Lite,4 Hour,Tripp Lite SMX5000XLRT3U UPS,230 V AC,SMX5000XLRT3U,[],,3U,3<br/>8,Yes,4 ms,Yes,,0.0,tripp-lite-ups-smx5000xlrt3u,3750.0,5000.0,4.0,10.0,28.0
,4.50 Minutes,12 Minutes,,,,Yes,Rack-mountable,Yes,110 V AC,UPS,/product/T4Crxr/tripp-lite-ups-smart2200rm2un,2200 VA,1920 W,Tripp Lite,4.50 Hour,Tripp Lite SMART2200RM2UN UPS,120 V AC,SMART2200RM2UN,"[963.13, 963.13, 999.99]",,2U,4 x NEMA 5-15R<br/>4 x NEMA 5-15/20R,Yes,5 ms,Yes,,975.416666667,tripp-lite-ups-smart2200rm2un,1920.0,2200.0,4.5,4.5,12.0
,3 Minutes,10 Minutes,,,,Yes,Rack-mountable,Yes,110 V AC,UPS,/product/nm8H99/tripp-lite-ups-smart3000rmxl2u,3000 VA,2880 W,Tripp Lite,5 Hour,Tripp Lite SMART3000RMXL2U UPS,120 V AC,SMART3000RMXL2U,"[905.21, 929.99, 952.6]",,2U,8 x NEMA 5-15/20R<br/>1 x NEMA L5-30R,Yes,5 ms,Yes,,929.266666667,tripp-lite-ups-smart3000rmxl2u,2880.0,3000.0,5.0,3.0,10.0
,10 Minutes,24 Minutes,,,,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/LCyxFT/tripp-lite-ups-smart5000tel3u,5000 VA,3750 W,Tripp Lite,4 Hour,Tripp Lite SMART5000TEL3U UPS,208 V AC,SMART5000TEL3U,"[2013.3, 2100.99, 2146.07, 2196.99, 2219.99]",,3U,1 x NEMA L6-30R<br/>2 x NEMA L6-20R<br/>2 x NEMA 5-15R,,8 ms,Yes,,2135.468,tripp-lite-ups-smart5000tel3u,3750.0,5000.0,4.0,10.0,24.0
,4.50 Minutes,13 Minutes,Sealed Lead Acid,,RJ-11,,Tower<br/>Rack-mountable,,220 V AC,UPS,/product/sHNypg/tripp-lite-ups-smx1500lcd,1500 VA,900 W,Tripp Lite,8 Hour,Tripp Lite SMX1500LCD UPS,230 V AC,SMX1500LCD,[319.08],,2U,8 x IEC 320 EN 60320 C13,Yes,4 ms,Yes,,319.08,tripp-lite-ups-smx1500lcd,900.0,1500.0,8.0,4.5,13.0
,8 Minutes,20 Minutes,,,RJ-45<br/>RJ-11,,Tower,Yes,220 V AC,UPS,/product/ybjWGX/tripp-lite-ups-smx1500slt,1500 VA,900 W,Tripp Lite,8 Hour,Tripp Lite SMX1500SLT UPS,240 V AC,SMX1500SLT,[456.62],,,8 x IEC 309-C13,Yes,8 ms,Yes,,456.62,tripp-lite-ups-smx1500slt,900.0,1500.0,8.0,8.0,20.0
