CAS Latency,Color,ECC,Heat Spreader,Kind,Link,Manufacturer,Model,Name,Part #,Price/GB,Prices,Registered,Size,Speed,Timing,Type,Voltage,avg,short_link,CAS,ppgb,is_ddr4,ddr3_speed,ddr4_speed,ddr_speed,dimm,size_gb,mod_count,mod_size,voltage
10,Black,No,Yes,Memory,/product/Lb7wrH/kingston-memory-khx18c10t2k216x,Kingston,,Kingston HyperX Predator 16GB (2 x 8GB) DDR3-1866 Memory,KHX18C10T2K2/16X,,[],No,16GB (2 x 8GB),DDR3-1866,,240-pin DIMM,1.5V,0.0,kingston-memory-khx18c10t2k216x,10,0.0,False,1866.0,,1866,240,16.0,2.0,8.0,1.5
15,Red,No,Yes,Memory,/product/krDzK8/gskill-memory-f43200c15q264gvr,G.Skill,,G.Skill Ripjaws V Series 64GB (8 x 8GB) DDR4-3200 Memory,F4-3200C15Q2-64GVR,$7.27,"[465.38, 489.99, 578.16]",No,64GB (8 x 8GB),DDR4-3200,,288-pin DIMM,1.35V,511.176666667,gskill-memory-f43200c15q264gvr,15,7.27,True,,3200.0,3200,288,64.0,8.0,8.0,1.35
9,Black/Silver,No,No,Memory,/product/ZzTmP6/corsair-memory-cmv4gx3m1a1333c9,Corsair,,Corsair 4GB (1 x 4GB) DDR3-1333 Memory,CMV4GX3M1A1333C9,$7.39,"[29.56, 29.99, 31.88, 34.99]",No,4GB (1 x 4GB),DDR3-1333,9-9-9-24,240-pin DIMM,1.5V,31.605,corsair-memory-cmv4gx3m1a1333c9,9,7.39,False,1333.0,,1333,240,4.0,1.0,4.0,1.5
14,Black,No,Yes,Memory,/product/4Vwqqs/gskill-memory-f43000c14q264gvk,G.Skill,,G.Skill Ripjaws V Series 64GB (8 x 8GB) DDR4-3000 Memory,F4-3000C14Q2-64GVK,$7.19,"[460.38, 529.99]",No,64GB (8 x 8GB),DDR4-3000,,288-pin DIMM,1.35V,495.185,gskill-memory-f43000c14q264gvk,14,7.19,True,,3000.0,3000,288,64.0,8.0,8.0,1.35
15,Black/Red,No,Yes,Memory,/product/NFGj4D/gskill-memory-f42800c15d8gvr,G.Skill,,G.Skill Ripjaws V Series 8GB (2 x 4GB) DDR4-2800 Memory,F4-2800C15D-8GVR,$7.62,"[60.99, 68.3]",No,8GB (2 x 4GB),DDR4-2800,,288-pin DIMM,1.25V,64.645,gskill-memory-f42800c15d8gvr,15,7.62,True,,2800.0,2800,288,8.0,2.0,4.0,1.25
14,Silver/White,No,Yes,Memory,/product/p34NnQ/gskill-tridentz-series-64gb-4-x-16gb-ddr4-3200-memory-f4-3200c14q-64gtzsw,G.Skill,,G.Skill TridentZ Series 64GB (4 x 16GB) DDR4-3200 Memory,F4-3200C14Q-64GTZSW,$8.48,"[542.72, 549.99]",No,64GB (4 x 16GB),DDR4-3200,14-14-14-34,288-pin DIMM,1.35V,546.355,gskill-tridentz-series-64gb-4-x-16gb-ddr4-3200-memory-f4-3200c14q-64gtzsw,14,8.48,True,,3200.0,3200,288,64.0,4.0,16.0,1.35
15,Red/Silver,No,Yes,Memory,/product/cL2rxr/mushkin-memory-997205t,Mushkin,,Mushkin Redline 16GB (2 x 8GB) DDR4-3000 Memory,997205T,,[],No,16GB (2 x 8GB),DDR4-3000,,288-pin DIMM,1.35V,0.0,mushkin-memory-997205t,15,0.0,True,,3000.0,3000,288,16.0,2.0,8.0,1.35
13,Black/White,No,Yes,Memory,/product/sdmxFT/kingston-memory-hx421c13sbk416,Kingston,,Kingston Savage 16GB (4 x 4GB) DDR4-2133 Memory,HX421C13SBK4/16,$7.44,"[118.99, 146.99, 146.99, 163.99]",No,16GB (4 x 4GB),DDR4-2133,,288-pin DIMM,1.2V,144.24,kingston-memory-hx421c13sbk416,13,7.44,True,,2133.0,2133,288,16.0,4.0,4.0,1.2
11,Gray/Silver,No,Yes,Memory,/product/PL3RsY/kingston-memory-khx18c11p1k216,Kingston,,Kingston HyperX 16GB (2 x 8GB) DDR3-1866 Memory,KHX18C11P1K2/16,,[],No,16GB (2 x 8GB),DDR3-1866,,240-pin DIMM,1.5V,0.0,kingston-memory-khx18c11p1k216,11,0.0,False,1866.0,,1866,240,16.0,2.0,8.0,1.5
9,Black/Silver,No,Yes,Memory,/product/gFNp99/corsair-memory-cmz4gx3m1a1600c9,Corsair,,Corsair Vengeance 4GB (1 x 4GB) DDR3-1600 Memory,CMZ4GX3M1A1600C9,$7.50,"[29.98, 29.99, 39.99]",No,4GB (1 x 4GB),DDR3-1600,9-9-9-24,240-pin DIMM,1.5V,33.32,corsair-memory-cmz4gx3m1a1600c9,9,7.5,False,1600.0,,1600,240,4.0,1.0,4.0,1.5
