Cache,Capacity,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Kind,Link,Manufacturer,Model,NAND Flash Type,Name,Part #,Power Loss Protection,Price/GB,Prices,RPM,SSD Controller,avg,short_link,storage_gb,rpm,is_ssd,ppgb,form_factor
N/A,256GB,M.2-2242,3.01,,M.2 (B+M),Storage,/product/hcfmP6/mydigitalssd-internal-hard-drive-mdm242sb256,MyDigitalSSD,,MLC (toggle),MyDigitalSSD Super Boot Drive 256GB M.2-2242 Solid State Drive,MDM242-SB-256,,$0.33,[84.99],,Phison,84.99,mydigitalssd-internal-hard-drive-mdm242sb256,256.0,0.0,Yes,0.33,M.2-2242
256MB,512GB,PCI-E,,,PCI-Express x2,Storage,/product/hf7CmG/plextor-internal-hard-drive-px512m6ebk,Plextor,,,Plextor M6e Black Edition 512GB PCI-E Solid State Drive,PX-512M6e-BK,,,[],,,0.0,plextor-internal-hard-drive-px512m6ebk,512.0,0.0,Yes,0.0,PCI-E
32MB,250GB,"2.5""",4.81,,SATA 6 Gb/s,Storage,/product/36hj4D/western-digital-internal-hard-drive-wd2500lplx,Western Digital,,,"Western Digital Black 250GB 2.5"" 7200RPM Internal Hard Drive",WD2500LPLX,,$0.21,"[51.99, 51.99, 57.99]",7200,,53.99,western-digital-internal-hard-drive-wd2500lplx,250.0,7200.0,No,0.21,"2.5"""
64MB,6TB,"3.5""",23.25,,SATA 6 Gb/s,Storage,/product/KNqbt6/western-digital-internal-hard-drive-wd6001f4pz,Western Digital,,,"Western Digital Ae 6TB 3.5"" 5760RPM Internal Hard Drive",WD6001F4PZ,,$0.043,"[258.1, 272.73, 275.99]",5760,,268.94,western-digital-internal-hard-drive-wd6001f4pz,6000.0,5760.0,No,0.043,"3.5"""
N/A,512GB,mSATA,1.83,,mSATA,Storage,/product/HvH323/crucial-internal-hard-drive-ct512m550ssd3,Crucial,,MLC (synchronous),Crucial M550 512GB mSATA Solid State Drive,CT512M550SSD3,Yes,$0.55,[279.99],,Marvell 9189,279.99,crucial-internal-hard-drive-ct512m550ssd3,512.0,0.0,Yes,0.55,mSATA
256MB,10TB,"3.5""",20.41,,SATA 6 Gb/s,Storage,/product/MGL7YJ/seagate-enterprise-capacity-10tb-35-7200rpm-internal-hard-drive-st10000nm0016,Seagate,,,"Seagate Enterprise Capacity 10TB 3.5"" 7200RPM Internal Hard Drive",ST10000NM0016,,$0.049,"[489.99, 499.99, 521.61, 597.99]",7200,,527.395,seagate-enterprise-capacity-10tb-35-7200rpm-internal-hard-drive-st10000nm0016,10000.0,7200.0,No,0.049,"3.5"""
N/A,64GB,M.2-2260,1.49,,M.2 (B+M),Storage,/product/YXXfrH/transcend-internal-hard-drive-ts64gmts600,Transcend,,MLC (synchronous),Transcend MTS600 64GB M.2-2260 Solid State Drive,TS64GMTS600,,$0.67,[34.99],,Silicon Motion,34.99,transcend-internal-hard-drive-ts64gmts600,64.0,0.0,Yes,0.67,M.2-2260
N/A,100GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/XBw323/kingston-internal-hard-drive-se50s37100g,Kingston,,MLC (toggle),"Kingston E50 Enterprise 100GB 2.5"" Solid State Drive",SE50S37100G,,,[],,Sandforce SF-2581,0.0,kingston-internal-hard-drive-se50s37100g,100.0,0.0,Yes,0.0,"2.5"""
N/A,512GB,"2.5""",2.05,,SATA 6 Gb/s,Storage,/product/TVtCmG/sandisk-internal-hard-drive-sd7ub2q512g1122,Sandisk,,MLC,"Sandisk X300S 512GB 2.5"" Solid State Drive",SD7UB2Q-512G-1122,,$0.49,"[250.17, 319.99]",,,285.08,sandisk-internal-hard-drive-sd7ub2q512g1122,512.0,0.0,Yes,0.49,"2.5"""
N/A,480GB,"2.5""",2.74,,SATA 6 Gb/s,Storage,/product/4C3RsY/kingston-internal-hard-drive-sv300s3d7480g,Kingston,,Varies,"Kingston SSDNow V300 Series 480GB 2.5"" Solid State Drive",SV300S3D7/480G,,$0.36,"[174.99, 178.99, 178.99, 180.0, 178.99]",,Sandforce SF-2281,178.392,kingston-internal-hard-drive-sv300s3d7480g,480.0,0.0,Yes,0.36,"2.5"""
64MB,2TB,"3.5""",14.39,,SATA 6 Gb/s,Storage,/product/8QmLrH/toshiba-internal-hard-drive-mg03aca200,Toshiba,,,"Toshiba Product Series:MG03ACA 2TB 3.5"" 7200RPM Internal Hard Drive",MG03ACA200,,$0.069,"[138.95, 138.99, 153.99, 127.99]",7200,,139.98,toshiba-internal-hard-drive-mg03aca200,2000.0,7200.0,No,0.069,"3.5"""
128MB,6TB,"3.5""",24.44,,SAS 12 Gb/s,Storage,/product/cfPzK8/hitachi-internal-hard-drive-0f22791,Hitachi,,,"Hitachi Ultrastar 7K6000 6TB 3.5"" 7200RPM Internal Hard Drive",0F22791,,$0.041,[239.99],7200,,239.99,hitachi-internal-hard-drive-0f22791,6000.0,7200.0,No,0.041,"3.5"""
N/A,480GB,"2.5""",1.76,,SATA 6 Gb/s,Storage,/product/qFTrxr/visiontek-internal-hard-drive-900754,VisionTek,,,"VisionTek Go Drive 480GB 2.5"" Solid State Drive",900754,,$0.57,"[272.35, 319.99]",,,296.17,visiontek-internal-hard-drive-900754,480.0,0.0,Yes,0.57,"2.5"""
N/A,512GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/WX6BD3/samsung-internal-hard-drive-mz7pc512dam,Samsung,,MLC (toggle),"Samsung 830 Series 512GB 2.5"" Solid State Drive",MZ-7PC512D/AM,,,[],,Samsung MCX,0.0,samsung-internal-hard-drive-mz7pc512dam,512.0,0.0,Yes,0.0,"2.5"""
64MB,2TB,"3.5""",9.48,,SATA 6 Gb/s,Storage,/product/JYvRsY/hitachi-internal-hard-drive-hus724020ale640,Hitachi,,,"Hitachi Ultrastar 7K4000 2TB 3.5"" 7200RPM Internal Hard Drive",HUS724020ALE640,,$0.11,[203.0],7200,,203.0,hitachi-internal-hard-drive-hus724020ale640,2000.0,7200.0,No,0.11,"3.5"""
64MB,1TB,"2.5""",,,SATA 6 Gb/s,Storage,/product/9qCwrH/seagate-internal-hard-drive-st91000642ns,Seagate,,,"Seagate Constellation 1TB 2.5"" 7200RPM Internal Hard Drive",ST91000642NS,,,[],7200,,0.0,seagate-internal-hard-drive-st91000642ns,1000.0,7200.0,No,0.0,"2.5"""
N/A,2TB,"2.5""",2.37,,SATA 6 Gb/s,Storage,/product/2TCrxr/samsung-internal-hard-drive-mz7ke2t0bw,Samsung,,,"Samsung 850 PRO 2TB 2.5"" Solid State Drive",MZ-7KE2T0BW,,$0.42,"[845.0, 846.0, 846.0, 855.09, 949.99, 949.99, 949.99]",,,891.722857143,samsung-internal-hard-drive-mz7ke2t0bw,2000.0,0.0,Yes,0.42,"2.5"""
16MB,750GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/C9DwrH/seagate-internal-hard-drive-st9750420as,Seagate,,,"Seagate Momentus 750GB 2.5"" 7200RPM Internal Hard Drive",ST9750420AS,,,[],7200,,0.0,seagate-internal-hard-drive-st9750420as,750.0,7200.0,No,0.0,"2.5"""
N/A,60GB,"1.8""",0.91,,Micro SATA 6 Gb/s,Storage,/product/NfNp99/kingston-internal-hard-drive-skc380s360g,Kingston,,MLC,"Kingston KC380 60GB 1.8"" Solid State Drive",SKC380S3/60G,,$1.10,"[65.98, 85.06]",,Sandforce SF-2241,75.52,kingston-internal-hard-drive-skc380s360g,60.0,0.0,Yes,1.1,"1.8"""
N/A,64GB,"2.5""",1.29,,SATA 6 Gb/s,Storage,/product/HXvZxr/sandisk-internal-hard-drive-sd8sbat064g1122,Sandisk,,,"Sandisk Z400s 64GB 2.5"" Solid State Drive",SD8SBAT-064G-1122,,$0.77,[49.52],,,49.52,sandisk-internal-hard-drive-sd8sbat064g1122,64.0,0.0,Yes,0.77,"2.5"""
N/A,120GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/F4DzK8/pny-internal-hard-drive-ssd7sc120goptrb,PNY,,,"PNY Optima  120GB 2.5"" Solid State Drive",SSD7SC120GOPT-RB,,,[],,,0.0,pny-internal-hard-drive-ssd7sc120goptrb,120.0,0.0,Yes,0.0,"2.5"""
64MB,500GB,"3.5""",8.64,,SATA 6 Gb/s,Storage,/product/FrkD4D/western-digital-internal-hard-drive-wd5000azrx,Western Digital,,,"Western Digital Caviar Green 500GB 3.5"" 5400RPM Internal Hard Drive",WD5000AZRX,,$0.12,"[57.89, 59.99, 60.99]",5400,,59.6233333333,western-digital-internal-hard-drive-wd5000azrx,500.0,5400.0,No,0.12,"3.5"""
16MB,320GB,"2.5""",6.67,,SATA 3 Gb/s,Storage,/product/dKTmP6/western-digital-internal-hard-drive-wd3200bekt,Western Digital,,,"Western Digital Scorpio Black 320GB 2.5"" 7200RPM Internal Hard Drive",WD3200BEKT,,$0.15,[44.01],7200,,44.01,western-digital-internal-hard-drive-wd3200bekt,320.0,7200.0,No,0.15,"2.5"""
8MB,250GB,"3.5""",,,SATA 3 Gb/s,Storage,/product/2HFPxr/western-digital-internal-hard-drive-wd2500avjs,Western Digital,,,"Western Digital AV 250GB 3.5"" 7200RPM Internal Hard Drive",WD2500AVJS,,,[],7200,,0.0,western-digital-internal-hard-drive-wd2500avjs,250.0,7200.0,No,0.0,"3.5"""
N/A,64GB,M.2-2242,,,M.2 (B+M),Storage,/product/HMp323/mydigitalssd-internal-hard-drive-mdm242sbe064,MyDigitalSSD,,MLC (synchronous),MyDigitalSSD Super Boot Eco 64GB M.2-2242 Solid State Drive,MDM242-SBe-064,,,[],,Phison,0.0,mydigitalssd-internal-hard-drive-mdm242sbe064,64.0,0.0,Yes,0.0,M.2-2242
8MB,160GB,"3.5""",2.37,,PATA 100,Storage,/product/2xMFf7/western-digital-internal-hard-drive-wd1600aajb,Western Digital,,,"Western Digital Caviar Blue 160GB 3.5"" 7200RPM Internal Hard Drive",WD1600AAJB,,$0.42,"[54.99, 52.99]",7200,,53.99,western-digital-internal-hard-drive-wd1600aajb,160.0,7200.0,No,0.42,"3.5"""
64MB,2TB,"3.5""",21.98,,SATA 6 Gb/s,Storage,/product/nxrcCJ/seagate-internal-hard-drive-st2000vx005,Seagate,,,"Seagate Surveillance HDD 2TB 3.5"" 5900RPM Internal Hard Drive",ST2000VX005,,$0.045,"[90.99, 95.97, 101.03]",5900,,95.9966666667,seagate-internal-hard-drive-st2000vx005,2000.0,5900.0,No,0.045,"3.5"""
64MB,2TB,"3.5""",28.58,,SATA 6 Gb/s,Storage,/product/KyCwrH/seagate-internal-hard-drive-st2000dm001,Seagate,,,"Seagate Barracuda 2TB 3.5"" 7200RPM Internal Hard Drive",ST2000DM001,,$0.035,"[69.99, 71.89, 72.99, 72.99, 67.95, 69.99]",7200,,70.9666666667,seagate-internal-hard-drive-st2000dm001,2000.0,7200.0,No,0.035,"3.5"""
N/A,512GB,"2.5""",2.29,,SATA 6 Gb/s,Storage,/product/v3fp99/samsung-internal-hard-drive-mz7ke512bw,Samsung,,3D V-NAND,"Samsung 850 Pro Series 512GB 2.5"" Solid State Drive",MZ-7KE512BW,,$0.44,"[224.0, 224.0, 230.88, 224.0, 247.99, 249.99, 249.99, 249.99, 249.99, 378.0]",,Samsung MEX,252.883,samsung-internal-hard-drive-mz7ke512bw,512.0,0.0,Yes,0.44,"2.5"""
128MB,5TB,"3.5""",,,SATA 6 Gb/s,Storage,/product/RGfmP6/seagate-internal-hard-drive-st5000as0001,Seagate,,,"Seagate Archive HDD v2 5TB 3.5"" 5900RPM Internal Hard Drive",ST5000AS0001,,,[],5900,,0.0,seagate-internal-hard-drive-st5000as0001,5000.0,5900.0,No,0.0,"3.5"""
32MB,500GB,"2.5""",10.02,,SATA 6 Gb/s,Storage,/product/2H98TW/hitachi-internal-hard-drive-0j38075,Hitachi,,,"Hitachi Travelstar Z7K500 500GB 2.5"" 7200RPM Internal Hard Drive",0J38075,,$0.100,"[49.89, 53.99, 74.97]",7200,,59.6166666667,hitachi-internal-hard-drive-0j38075,500.0,7200.0,No,0.1,"2.5"""
64MB,3TB,"3.5""",27.43,,SAS 6 Gb/s,Storage,/product/K8Np99/seagate-internal-hard-drive-st33000650ss,Seagate,,,"Seagate Constellation ES.2 3TB 3.5"" 7200RPM Internal Hard Drive",ST33000650SS,,$0.036,[109.35],7200,,109.35,seagate-internal-hard-drive-st33000650ss,3000.0,7200.0,No,0.036,"3.5"""
N/A,240GB,"2.5""",1.02,,SATA 6 Gb/s,Storage,/product/ztp323/intel-internal-hard-drive-ssdsc2bp240g401,Intel,,,"Intel 730 Series 240GB 2.5"" Solid State Drive",SSDSC2BP240G401,,$0.98,[229.0],,,229.0,intel-internal-hard-drive-ssdsc2bp240g401,240.0,0.0,Yes,0.98,"2.5"""
N/A,64GB,"2.5""",0.97,,SAS 6 Gb/s,Storage,/product/rPbp99/sandisk-internal-hard-drive-sd7sb3q064g1122,Sandisk,,MLC,"Sandisk X300S 64GB 2.5"" Solid State Drive",SD7SB3Q-064G-1122,,$1.03,"[57.9, 75.99]",,,66.945,sandisk-internal-hard-drive-sd7sb3q064g1122,64.0,0.0,Yes,1.03,"2.5"""
64MB,4TB,"3.5""",,,SATA 6 Gb/s,Storage,/product/xgvRsY/hitachi-internal-hard-drive-0f19847,Hitachi,,,"Hitachi 4TB 3.5"" 5700RPM Internal Hard Drive",0F19847,,,[],5700,,0.0,hitachi-internal-hard-drive-0f19847,4000.0,5700.0,No,0.0,"3.5"""
16MB,500GB,"3.5""",,,SATA 3 Gb/s,Storage,/product/tMH323/western-digital-internal-hard-drive-wd5000abps,Western Digital,,,"Western Digital RE2-GP 500GB 3.5"" 7200RPM Internal Hard Drive",WD5000ABPS,,,[],7200,,0.0,western-digital-internal-hard-drive-wd5000abps,500.0,7200.0,No,0.0,"3.5"""
32MB,750GB,"3.5""",,,SATA 3 Gb/s,Storage,/product/QpvRsY/western-digital-internal-hard-drive-wd7501aals,Western Digital,,,"Western Digital Caviar Black 750GB 3.5"" 7200RPM Internal Hard Drive",WD7501AALS,,,[],7200,,0.0,western-digital-internal-hard-drive-wd7501aals,750.0,7200.0,No,0.0,"3.5"""
N/A,64GB,"2.5""",0.32,,SATA 3 Gb/s,Storage,/product/6Tfp99/intel-internal-hard-drive-ssdsa2sh064g101,Intel,,SLC,"Intel X25-E 64GB 2.5"" Solid State Drive",SSDSA2SH064G101,,$3.09,[198.0],,Varies,198.0,intel-internal-hard-drive-ssdsa2sh064g101,64.0,0.0,Yes,3.09,"2.5"""
8MB,320GB,"3.5""",6.04,,SATA 3 Gb/s,Storage,/product/ywbp99/samsung-internal-hard-drive-hd321hj,Samsung,,,"Samsung Spinpoint F1 DT 320GB 3.5"" 7200RPM Internal Hard Drive",HD321HJ,,$0.17,"[46.0, 143.96]",7200,,94.98,samsung-internal-hard-drive-hd321hj,320.0,7200.0,No,0.17,"3.5"""
N/A,1TB,"2.5""",2.23,,SATA 6 Gb/s,Storage,/product/XyDwrH/samsung-internal-hard-drive-mz7ke1t0bw,Samsung,,3D V-NAND,"Samsung 850 Pro Series 1TB 2.5"" Solid State Drive",MZ-7KE1T0BW,,$0.45,"[449.0, 449.0, 459.0, 479.99, 479.99, 479.99, 479.99, 499.99, 538.99]",,Samsung MEX,479.548888889,samsung-internal-hard-drive-mz7ke1t0bw,1000.0,0.0,Yes,0.45,"2.5"""
N/A,120GB,"2.5""",1.29,,SATA 6 Gb/s,Storage,/product/Tqs8TW/ocz-internal-hard-drive-vtx460a25sat3120g,OCZ,,MLC,"OCZ 120GB 2.5"" Solid State Drive",VTX460A-25SAT3-120G,,$0.77,[84.99],,,84.99,ocz-internal-hard-drive-vtx460a25sat3120g,120.0,0.0,Yes,0.77,"2.5"""
N/A,60GB,"2.5""",0.60,,SATA 3 Gb/s,Storage,/product/2qfp99/ocz-internal-hard-drive-oczssd21vtx60g,OCZ,,MLC,"OCZ Vertex 60GB 2.5"" Solid State Drive",OCZSSD2-1VTX60G,,$1.67,[92.66],,Indilinx Barefoot 1,92.66,ocz-internal-hard-drive-oczssd21vtx60g,60.0,0.0,Yes,1.67,"2.5"""
16MB,320GB,"2.5""",5.47,,SATA 6 Gb/s,Storage,/product/wkFPxr/seagate-internal-hard-drive-st320lt030,Seagate,,,"Seagate 320GB 2.5"" 5400RPM Internal Hard Drive",ST320LT030,,$0.18,"[49.99, 69.99]",5400,,59.99,seagate-internal-hard-drive-st320lt030,320.0,5400.0,No,0.18,"2.5"""
N/A,120GB,"3.5""",0.30,,SATA 6 Gb/s,Storage,/product/WQ7CmG/hp-internal-hard-drive-718171b21,HP,,,"HP 120GB 3.5"" Solid State Drive",718171-B21,,$3.30,[384.95],,,384.95,hp-internal-hard-drive-718171b21,120.0,0.0,Yes,3.3,"3.5"""
N/A,480GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/MhM323/samsung-internal-hard-drive-mz7lm480hchp00003,Samsung,,,"Samsung Data Center Series 480GB 2.5"" Solid State Drive",MZ7LM480HCHP-00003,,,[],,,0.0,samsung-internal-hard-drive-mz7lm480hchp00003,480.0,0.0,Yes,0.0,"2.5"""
64MB,2TB,"3.5""",19.14,,SATA 6 Gb/s,Storage,/product/KjX2FT/seagate-internal-hard-drive-st2000vx004,Seagate,,,"Seagate SV35 Series 2TB 3.5"" 5400RPM Internal Hard Drive",ST2000VX004,,$0.052,[95.61],5400,,95.61,seagate-internal-hard-drive-st2000vx004,2000.0,5400.0,No,0.052,"3.5"""
8MB,500GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/9WphP6/seagate-internal-hard-drive-st9500325asg,Seagate,,,"Seagate Momentus 5400.6 500GB 2.5"" 5400RPM Internal Hard Drive",ST9500325ASG,,,[],5400,,0.0,seagate-internal-hard-drive-st9500325asg,500.0,5400.0,No,0.0,"2.5"""
N/A,512GB,"2.5""",1.27,,SATA 6 Gb/s,Storage,/product/Zf8H99/micron-internal-hard-drive-mtfddak1t0mbf1a,Micron,,,"Micron M600 512GB 2.5"" Solid State Drive",MTFDDAK1T0MBF-1A,,$0.79,[402.99],,,402.99,micron-internal-hard-drive-mtfddak1t0mbf1a,512.0,0.0,Yes,0.79,"2.5"""
N/A,180GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/dkh9TW/kingston-internal-hard-drive-skc300s37a180g,Kingston,,MLC (toggle),"Kingston SSDNow KC300 180GB 2.5"" Solid State Drive",SKC300S37A/180G,,,[],,Sandforce SF-2281,0.0,kingston-internal-hard-drive-skc300s37a180g,180.0,0.0,Yes,0.0,"2.5"""
64MB,1TB,"3.5""",,,SATA 6 Gb/s,Storage,/product/hqGkcf/seagate-internal-hard-drive-st1000nc001,Seagate,,,"Seagate Constellation CS 1TB 3.5"" 7200RPM Internal Hard Drive",ST1000NC001,,,[],7200,,0.0,seagate-internal-hard-drive-st1000nc001,1000.0,7200.0,No,0.0,"3.5"""
N/A,500GB,M.2-2280,3.13,,M.2 (B+M),Storage,/product/VrH48d/samsung-internal-hard-drive-mzn5e500bw,Samsung,,,Samsung 850 EVO 500GB M.2-2280 Solid State Drive,MZ-N5E500BW,,$0.32,"[159.99, 166.88, 167.95, 159.99, 177.99, 179.99, 179.99, 179.99]",,,171.59625,samsung-internal-hard-drive-mzn5e500bw,500.0,0.0,Yes,0.32,M.2-2280
N/A,180GB,"2.5""",0.92,,SATA 6 Gb/s,Storage,/product/cVNp99/intel-internal-hard-drive-ssdsc2cw180a3k5,Intel,,MLC (synchronous),"Intel 520 Series Cherryville 180GB 2.5"" Solid State Drive",SSDSC2CW180A3K5,,$1.09,[195.75],,Sandforce SF-2281,195.75,intel-internal-hard-drive-ssdsc2cw180a3k5,180.0,0.0,Yes,1.09,"2.5"""
32MB,150GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/tYjG3C/western-digital-internal-hard-drive-wd1500blhx,Western Digital,,,"Western Digital VelociRaptor 150GB 2.5"" 10000RPM Internal Hard Drive",WD1500BLHX,,,[],10000,,0.0,western-digital-internal-hard-drive-wd1500blhx,150.0,10000.0,No,0.0,"2.5"""
16MB,500GB,"3.5""",,,SATA 3 Gb/s,Storage,/product/qTh9TW/hitachi-internal-hard-drive-0f10381,Hitachi,,,"Hitachi 500GB 3.5"" 7200RPM Internal Hard Drive",0F10381,,,[],7200,,0.0,hitachi-internal-hard-drive-0f10381,500.0,7200.0,No,0.0,"3.5"""
N/A,120GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/DRdqqs/kingston-internal-hard-drive-sh103s3b120g,Kingston,,MLC (synchronous),"Kingston HyperX 3K 120GB 2.5"" Solid State Drive",SH103S3B/120G,,,[],,Sandforce SF-2281,0.0,kingston-internal-hard-drive-sh103s3b120g,120.0,0.0,Yes,0.0,"2.5"""
8MB,500GB,"2.5""",5.84,,SATA 3 Gb/s,Storage,/product/JLZQzy/toshiba-internal-hard-drive-mk5059gsxp,Toshiba,,,"Toshiba 500GB 2.5"" 5400RPM Internal Hard Drive",MK5059GSXP,,$0.17,[85.6],5400,,85.6,toshiba-internal-hard-drive-mk5059gsxp,500.0,5400.0,No,0.17,"2.5"""
8MB,640GB,"2.5""",6.21,,SATA 3 Gb/s,Storage,/product/QX7wrH/western-digital-internal-hard-drive-wd6400bevt,Western Digital,,,"Western Digital Scorpio Blue 640GB 2.5"" 5400RPM Internal Hard Drive",WD6400BEVT,,$0.16,[99.0],5400,,99.0,western-digital-internal-hard-drive-wd6400bevt,640.0,5400.0,No,0.16,"2.5"""
N/A,60GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/xhXfrH/ocz-internal-hard-drive-oczssd21vtxt60g,OCZ,,MLC,"OCZ Vertex Turbo 60GB 2.5"" Solid State Drive",OCZSSD2-1VTXT60G,,,[],,Indilinx Barefoot 1,0.0,ocz-internal-hard-drive-oczssd21vtxt60g,60.0,0.0,Yes,0.0,"2.5"""
N/A,250GB,mSATA,,,mSATA,Storage,/product/J2tCmG/samsung-internal-hard-drive-mzmte250bw,Samsung,,TLC (toggle),Samsung 840 EVO 250GB mSATA Solid State Drive,MZ-MTE250BW,,,[],,Samsung MEX,0.0,samsung-internal-hard-drive-mzmte250bw,250.0,0.0,Yes,0.0,mSATA
N/A,120GB,"2.5""",0.80,,SATA 6 Gb/s,Storage,/product/BXK7YJ/sandisk-internal-hard-drive-sdssdxp120gg25,Sandisk,,MLC (toggle),"Sandisk Extreme II 120GB 2.5"" Solid State Drive",SDSSDXP-120G-G25,,$1.25,[149.99],,Marvell 9187,149.99,sandisk-internal-hard-drive-sdssdxp120gg25,120.0,0.0,Yes,1.25,"2.5"""
N/A,120GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/whfp99/ocz-internal-hard-drive-vtxplr225sat2120gb,OCZ,,MLC (asynchronous),"OCZ Vertex Plus R2 120GB 2.5"" Solid State Drive",VTXPLR2-25SAT2-120GB,,,[],,Indilinx Barefoot 2,0.0,ocz-internal-hard-drive-vtxplr225sat2120gb,120.0,0.0,Yes,0.0,"2.5"""
16MB,500GB,"3.5""",5.62,,SATA 6 Gb/s,Storage,/product/HGTmP6/western-digital-internal-hard-drive-wd5000aakx,Western Digital,,,"Western Digital Caviar Blue 500GB 3.5"" 7200RPM Internal Hard Drive",WD5000AAKX,,$0.18,[88.99],7200,,88.99,western-digital-internal-hard-drive-wd5000aakx,500.0,7200.0,No,0.18,"3.5"""
N/A,32GB,"2.5""",,,SATA 1.5 Gb/s,Storage,/product/vWkD4D/transcend-internal-hard-drive-ts32gssd25ss,Transcend,,SLC,"Transcend Transcend SLC 32GB 2.5"" Solid State Drive",TS32GSSD25S-S,,,[],,N/A,0.0,transcend-internal-hard-drive-ts32gssd25ss,32.0,0.0,Yes,0.0,"2.5"""
N/A,128GB,"2.5""",0.86,,SATA 6 Gb/s,Storage,/product/6CNp99/toshiba-internal-hard-drive-hdts212xzsta,Toshiba,,MLC (toggle),"Toshiba Q Series 128GB 2.5"" Solid State Drive",HDTS212XZSTA,,$1.16,"[140.75, 235.45]",,Toshiba TC58NC5HA9GST,188.1,toshiba-internal-hard-drive-hdts212xzsta,128.0,0.0,Yes,1.16,"2.5"""
256MB,128GB,"2.5""",0.62,,SATA 6 Gb/s,Storage,/product/DNtCmG/plextor-internal-hard-drive-px128m5s,Plextor,,MLC (synchronous),"Plextor M5S Series 128GB 2.5"" Solid State Drive",PX-128M5S,,$1.63,[199.99],,Marvell 9174,199.99,plextor-internal-hard-drive-px128m5s,128.0,0.0,Yes,1.63,"2.5"""
N/A,64GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/tBCwrH/crucial-internal-hard-drive-ct064v4ssd2,Crucial,,MLC (synchronous),"Crucial V4 64GB 2.5"" Solid State Drive",CT064V4SSD2,,,[],,Phison PS3105-S5,0.0,crucial-internal-hard-drive-ct064v4ssd2,64.0,0.0,Yes,0.0,"2.5"""
N/A,256GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/pxyFf7/crucial-internal-hard-drive-ct256m550ssd1,Crucial,,MLC (synchronous),"Crucial M550 256GB 2.5"" Solid State Drive",CT256M550SSD1,Yes,,[],,Marvell 9189,0.0,crucial-internal-hard-drive-ct256m550ssd1,256.0,0.0,Yes,0.0,"2.5"""
64MB,500GB,"3.5""",4.27,,SATA 6 Gb/s,Storage,/product/TwGkcf/axiom-internal-hard-drive-0a89470ax,Axiom,,,"Axiom 500GB 3.5"" 7200RPM Internal Hard Drive",0A89470-AX,,$0.23,"[113.99, 119.38, 121.21]",7200,,118.193333333,axiom-internal-hard-drive-0a89470ax,500.0,7200.0,No,0.23,"3.5"""
8MB,250GB,"2.5""",4.73,,SATA 6 Gb/s,Storage,/product/WvphP6/western-digital-internal-hard-drive-wd2500lpvx,Western Digital,,,"Western Digital WD Blue 250GB 2.5"" 5400RPM Internal Hard Drive",WD2500LPVX,,$0.21,[47.81],5400,,47.81,western-digital-internal-hard-drive-wd2500lpvx,250.0,5400.0,No,0.21,"2.5"""
128MB,3TB,"3.5""",13.86,,SATA 6 Gb/s,Storage,/product/yJ8H99/seagate-internal-hard-drive-st3000vn0011,Seagate,,,"Seagate Enterprise NAS 3TB 3.5"" 7200RPM Internal Hard Drive",ST3000VN0011,,$0.072,"[216.52, 219.31, 249.95]",7200,,228.593333333,seagate-internal-hard-drive-st3000vn0011,3000.0,7200.0,No,0.072,"3.5"""
N/A,120GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/8hyxFT/visiontek-internal-hard-drive-900623bundle,VisionTek,,,"VisionTek 120GB 2.5"" Solid State Drive",900623-BUNDLE,,,[],,,0.0,visiontek-internal-hard-drive-900623bundle,120.0,0.0,Yes,0.0,"2.5"""
8MB,500GB,"2.5""",10.00,,SATA 3 Gb/s,Storage,/product/tRmLrH/seagate-internal-hard-drive-st905003n1a1asrk,Seagate,,,"Seagate Momentus 500GB 2.5"" 5400RPM Internal Hard Drive",ST905003N1A1AS-RK,,$0.100,"[49.99, 49.99, 52.99, 59.99, 64.99]",5400,,55.59,seagate-internal-hard-drive-st905003n1a1asrk,500.0,5400.0,No,0.1,"2.5"""
N/A,480GB,"2.5""",3.38,,SATA 6 Gb/s,Storage,/product/LJM323/corsair-internal-hard-drive-cssdf480gbleb,Corsair,,,"Corsair Force LE 480GB 2.5"" Solid State Drive",CSSD-F480GBLEB,,$0.30,"[141.88, 149.99, 153.99, 159.99]",,,151.4625,corsair-internal-hard-drive-cssdf480gbleb,480.0,0.0,Yes,0.3,"2.5"""
8MB,750GB,"2.5""",5.25,,SATA 3 Gb/s,Storage,/product/Rhzv6h/western-digital-internal-hard-drive-wd7500kpvt,Western Digital,,,"Western Digital Scorpio Blue 750GB 2.5"" 5200RPM Internal Hard Drive",WD7500KPVT,,$0.19,"[142.82, 213.99]",5200,,178.405,western-digital-internal-hard-drive-wd7500kpvt,750.0,5200.0,No,0.19,"2.5"""
