Cache,Capacity,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Kind,Link,Manufacturer,Model,NAND Flash Type,Name,Part #,Power Loss Protection,Price/GB,Prices,RPM,SSD Controller,avg,short_link,storage_gb,rpm,is_ssd,ppgb,form_factor
N/A,120GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/BZphP6/ocz-internal-hard-drive-vtx3lp25sat3120g,OCZ,,MLC (synchronous),"OCZ Vertex 3 Low Profile 7mm Series 120GB 2.5"" Solid State Drive",VTX3LP-25SAT3-120G,,,[],,Sandforce SF-2281,0.0,ocz-internal-hard-drive-vtx3lp25sat3120g,120.0,0.0,Yes,0.0,"2.5"""
N/A,240GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/TCTmP6/ocz-internal-hard-drive-vtx3lp25sat3240g,OCZ,,MLC (synchronous),"OCZ Vertex 3 Low Profile 7mm Series 240GB 2.5"" Solid State Drive",VTX3LP-25SAT3-240G,,,[],,Sandforce SF-2281,0.0,ocz-internal-hard-drive-vtx3lp25sat3240g,240.0,0.0,Yes,0.0,"2.5"""
N/A,960GB,PCI-E,,,PCI-Express x4,Storage,/product/YHckcf/ocz-internal-hard-drive-oczssdpx1rvdx0960,OCZ,,MLC,OCZ RevoDrive X2 960GB PCI-E Solid State Drive,OCZSSDPX-1RVDX0960,,,[],,Sandforce SF-1222,0.0,ocz-internal-hard-drive-oczssdpx1rvdx0960,960.0,0.0,Yes,0.0,PCI-E
N/A,128GB,"2.5""",,,SATA 1.5 Gb/s,Storage,/product/HBCwrH/transcend-internal-hard-drive-ts128gssd25sm,Transcend,,MLC,"Transcend Transcend MLC 128GB 2.5"" Solid State Drive",TS128GSSD25S-M,,,[],,N/A,0.0,transcend-internal-hard-drive-ts128gssd25sm,128.0,0.0,Yes,0.0,"2.5"""
N/A,480GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/2VV48d/kingston-internal-hard-drive-svp200s3480g,Kingston,,MLC (asynchronous),"Kingston SSDNow V+200 480GB 2.5"" Solid State Drive",SVP200S3/480G,,,[],,Sandforce SF-2281,0.0,kingston-internal-hard-drive-svp200s3480g,480.0,0.0,Yes,0.0,"2.5"""
16MB,500GB,"3.5""",,,SATA 3 Gb/s,Storage,/product/fRPfrH/seagate-internal-hard-drive-st3500418as25pk,Seagate,,,"Seagate Barracuda 7200.12 500GB 3.5"" 7200RPM Internal Hard Drive",ST3500418AS 25PK,,,[],7200,,0.0,seagate-internal-hard-drive-st3500418as25pk,500.0,7200.0,No,0.0,"3.5"""
N/A,60GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/JMsKHx/ocz-internal-hard-drive-vtx3lp25sat360g,OCZ,,MLC (synchronous),"OCZ Vertex 3 Low Profile 7mm Series 60GB 2.5"" Solid State Drive",VTX3LP-25SAT3-60G,,,[],,Sandforce SF-2281,0.0,ocz-internal-hard-drive-vtx3lp25sat360g,60.0,0.0,Yes,0.0,"2.5"""
16MB,250GB,"2.5""",,,SATA 3 Gb/s,Storage,/product/QtMFf7/axiom-internal-hard-drive-hd250sata7ax,Axiom,,,"Axiom 250GB 2.5"" 7200RPM Internal Hard Drive",HD250SATA7-AX,,,[],7200,,0.0,axiom-internal-hard-drive-hd250sata7ax,250.0,7200.0,No,0.0,"2.5"""
N/A,480GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/mZkD4D/mushkin-internal-hard-drive-mknssdps480gb3,Mushkin,,eMLC,"Mushkin ProSpec Series 480GB 2.5"" Solid State Drive",MKNSSDPS480GB-3,Yes,,[],,Sandforce SF-2581,0.0,mushkin-internal-hard-drive-mknssdps480gb3,480.0,0.0,Yes,0.0,"2.5"""
64MB,3TB,"3.5""",,,SATA 6 Gb/s,Storage,/product/rHXfrH/seagate-internal-hard-drive-st33000652ns,Seagate,,,"Seagate Constellation ES.2 3TB 3.5"" 7200RPM Internal Hard Drive",ST33000652NS,,,[],7200,,0.0,seagate-internal-hard-drive-st33000652ns,3000.0,7200.0,No,0.0,"3.5"""
