Color,Dimensions,"External 2.5"" Bays","External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays","Internal 5.25"" Slim Slot Load Bays",Kind,Link,Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Name,Part #,Prices,Type,link,dim,vol,avg,short_link
Black,"22.99"" x 11.06"" x 23.19""",,1,4,,,Yes,No,,5,,,Case,/product/2K9KHx/thermaltake-case-vn10001w2n,Thermaltake,"14.17""",,"ATX, EATX, Micro ATX, Mini ITX",Thermaltake VN10001W2N ATX Full Tower Case,VN10001W2N<br/>(or) Level 10 GT (VN10001W2N),"[177.93, 181.99, 199.99]",ATX Full Tower,thermaltake-case-vn10001w2n,"[22.99, 11.06, 23.19]",5896.507386,186.636666667,thermaltake-case-vn10001w2n
Black,"10.51"" x 20.24"" x 20.55""",,1,3,,,Yes,No,,7,,,Case,/product/hHckcf/cougar-case-challengerb,Cougar,"11.81"" (300mm) With Drive Cages<br/>16.14"" (410mm) Without Drive Cages",Challenger-B (Black),"ATX, Micro ATX, Mini ITX",Cougar Challenger-B (Black) ATX Mid Tower Case,Challenger-B,"[72.88, 73.99, 79.99, 116.99]",ATX Mid Tower,cougar-case-challengerb,"[10.51, 20.24, 20.55]",4371.44532,85.9625,cougar-case-challengerb
Black,"20.55"" x 8.78"" x 20.24""",,,6,,,Yes,No,,4,,,Case,/product/KJ3RsY/cougar-case-evolution,Cougar,"12.01""",,"ATX, Micro ATX, Mini ITX",Cougar Evolution ATX Mid Tower Case,Evolution,"[79.49, 79.99, 86.73, 89.99]",ATX Mid Tower,cougar-case-evolution,"[20.55, 8.78, 20.24]",3651.88296,84.05,cougar-case-evolution
Black,"7.17"" x 17.52"" x 16.10""",,,2,,,Yes,No,3,6,,,Case,/product/pcDwrH/lian-li-case-pcc60b,Lian-Li,"10.63""",,"ATX, Micro ATX, Mini ITX, Thin Mini ITX",Lian-Li PC-C60B HTPC Case,PC-C60B,[177.57],HTPC,lian-li-case-pcc60b,"[7.17, 17.52, 16.10]",2022.45624,177.57,lian-li-case-pcc60b
Black,"8.27"" x 14.69"" x 15.16""",,1,2,,,Yes,No,1,4,,,Case,/product/VtjG3C/silverstone-case-tj08bew,Silverstone,"13.23""",,"Micro ATX, Mini DTX, Mini ITX",Silverstone TJ08B-EW MicroATX Mid Tower Case,TJ08B-EW<br/>(or) SST-TJ08B-EW,[123.15],MicroATX Mid Tower,silverstone-case-tj08bew,"[8.27, 14.69, 15.16]",1841.732308,123.15,silverstone-case-tj08bew
Black,"19.69"" x 7.83"" x 17.28""",,2,4,,,No,No,,5,,,Case,/product/mKmLrH/thermaltake-case-vg7000bws,Thermaltake,,SopranoRS 101,"ATX, Micro ATX, Mini ITX",Thermaltake SopranoRS 101 ATX Mid Tower Case,VG7000BWS,[],ATX Mid Tower,thermaltake-case-vg7000bws,"[19.69, 7.83, 17.28]",2664.104256,0.0,thermaltake-case-vg7000bws
Black,"13.54"" x 8.94"" x 10.71""",,,1,,,Yes,No,,6,,,Case,/product/kZyFf7/lian-li-case-pcq08b,Lian-Li,"11.81""",,"Mini ITX, Thin Mini ITX",Lian-Li PC-Q08B Mini ITX Tower Case,PC-Q08B,[],Mini ITX Tower,lian-li-case-pcq08b,"[13.54, 8.94, 10.71]",1296.419796,0.0,lian-li-case-pcq08b
Black,,,,,1,,Yes,No,3,7,,,Case,/product/DmrcCJ/lian-li-case-pc07sx,Lian-Li,"12.20""",,"ATX, EATX",Lian-Li PC-07SX HTPC Case,PC-07SX<br/>(or) PC-07S,[],HTPC,lian-li-case-pc07sx,,0.0,0.0,lian-li-case-pc07sx
Black,"19.45"" x 8.31"" x 19.53""",,,5,,,No,No,,7,,,Case,/product/7LR48d/silverstone-case-ft01b,Silverstone,"11.97""",,"ATX, Micro ATX, Mini ITX",Silverstone FT01-B ATX Mid Tower Case,FT01-B<br/>(or) SST-FT01-B,[],ATX Mid Tower,silverstone-case-ft01b,"[19.45, 8.31, 19.53]",3156.624135,0.0,silverstone-case-ft01b
Pink,,,1,1,,,Yes,No,1,2,,,Case,/product/7JM323/apevia-case-xqberpk,Apevia,"12.60""",,"Micro ATX, Mini ITX",Apevia X-QBER-PK MicroATX Desktop Case,X-QBER-PK,"[50.99, 59.99, 67.57, 68.63]",MicroATX Desktop,apevia-case-xqberpk,,0.0,61.795,apevia-case-xqberpk
