Color,Dimensions,"External 2.5"" Bays","External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays","Internal 5.25"" Slim Slot Load Bays",Kind,Link,Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Name,Part #,Prices,Type,link,dim,vol,avg,short_link
Black,"19.53"" x 8.15"" x 18.54""",,1,4,,,No,No,,5,,,Case,/product/rktCmG/zalman-case-z7,Zalman,,,"ATX, Micro ATX, Mini ITX",Zalman Z7 ATX Mid Tower Case,Z7,[],ATX Mid Tower,zalman-case-z7,"[19.53, 8.15, 18.54]",2951.00253,0.0,zalman-case-z7
Black,,,,2,,,Yes,No,2,2,,,Case,/product/8jcMnQ/sentey-case-gs6008,Sentey,"13.39""",Stealth,"ATX, Micro ATX, Mini ITX",Sentey Stealth ATX Mid Tower Case,GS-6008,[],ATX Mid Tower,sentey-case-gs6008,,0.0,0.0,sentey-case-gs6008
Black/White,"20.94"" x 8.78"" x 20.75""",,,3,,,Yes,No,,6,,,Case,/product/2kkD4D/aerocool-case-xpredatorx3whiteedition,Aerocool,"12.20""",,"ATX, Micro ATX",Aerocool Xpredator-X3 White Edition ATX Mid Tower Case,Xpredator-X3 White Edition,[],ATX Mid Tower,aerocool-case-xpredatorx3whiteedition,"[20.94, 8.78, 20.75]",3814.9539,0.0,aerocool-case-xpredatorx3whiteedition
Black,"16.38"" x 7.17"" x 17.60""",,,2,,,Yes,No,,2,,,Case,/product/Pgs8TW/diypc-case-fm18bk,DIYPC,"12.99""",,"ATX, Micro ATX",DIYPC FM18-BK ATX Mid Tower Case,FM18-BK,[25.98],ATX Mid Tower,diypc-case-fm18bk,"[16.38, 7.17, 17.60]",2067.02496,25.98,diypc-case-fm18bk
Black/Green,,,,3,,,Yes,No,3,3,,,Case,/product/YvfmP6/raidmax-case-atxa07wbg,Raidmax,"11.02"" (280mm) With Drive Cages<br/>15.35"" (390mm) Without Drive Cages",Viper II,"ATX, Micro ATX, Mini ITX",Raidmax Viper II ATX Mid Tower Case,ATX-A07WBG,"[46.99, 49.99, 57.29]",ATX Mid Tower,raidmax-case-atxa07wbg,,0.0,51.4233333333,raidmax-case-atxa07wbg
Black/Blue,,,,3,,,Yes,No,3,3,,,Case,/product/DBcMnQ/raidmax-case-atxa07wbu,Raidmax,"11.02"" (280mm) With Drive Cages<br/>15.35"" (390mm) Without Drive Cages",Viper II,"ATX, Micro ATX, Mini ITX",Raidmax Viper II ATX Mid Tower Case,ATX-A07WBU,[44.99],ATX Mid Tower,raidmax-case-atxa07wbu,,0.0,44.99,raidmax-case-atxa07wbu
Green,,,,1,,,Yes,No,9,5,,,Case,/product/zrZQzy/bitfenix-case-bfcpro300ggwkgrp,BitFenix,"6.97"" (177mm) With Drive Cages<br/>12.48"" (317mm) Without Drive Cages",Prodigy (Green),Mini ITX,BitFenix Prodigy (Green) Mini ITX Tower Case,BFC-PRO-300-GGWKG-RP,"[103.99, 107.4]",Mini ITX Tower,bitfenix-case-bfcpro300ggwkgrp,,0.0,105.695,bitfenix-case-bfcpro300ggwkgrp
Black,,,,2,,,Yes,No,,4,,,Case,/product/qp2rxr/zalman-case-z3,Zalman,"14.17""",,"ATX, Micro ATX, Mini ITX",Zalman Z3 ATX Mid Tower Case,Z3,"[40.99, 39.99, 49.99, 39.99]",ATX Mid Tower,zalman-case-z3,,0.0,42.74,zalman-case-z3
Black,,,,2,,,Yes,No,2,2,,,Case,/product/VK4NnQ/cooler-master-case-mcx0005kkn00,Cooler Master,"11.65"" (296mm) With Drive Cages<br/>16.22"" (412mm) Without Drive Cages",MasterCase 5,"ATX, Micro ATX, Mini ITX",Cooler Master MasterCase 5 ATX Mid Tower Case,MCX-0005-KKN00,"[125.92, 143.35]",ATX Mid Tower,cooler-master-case-mcx0005kkn00,,0.0,134.635,cooler-master-case-mcx0005kkn00
Black/Gold,"16.89"" x 7.24"" x 18.46""",,,2,,,Yes,No,3,3,,,Case,/product/6hsKHx/bitfenix-case-bfcneo100kkwkarp,BitFenix,"11.81""",Neos Black/Gold,"ATX, Micro ATX, Mini ITX",BitFenix Neos Black/Gold ATX Mid Tower Case,BFC-NEO-100-KKWKA-RP,"[44.99, 47.99, 71.13]",ATX Mid Tower,bitfenix-case-bfcneo100kkwkarp,"[16.89, 7.24, 18.46]",2257.355256,54.7033333333,bitfenix-case-bfcneo100kkwkarp
Black,"15.31"" x 9.84"" x 15.75""",,,1,,,Yes,No,,3,,,Case,/product/gBmxFT/rosewill-case-neutron,Rosewill,"13.39""",,Mini ITX,Rosewill Neutron Mini ITX Desktop Case,Neutron,[],Mini ITX Desktop,rosewill-case-neutron,"[15.31, 9.84, 15.75]",2372.7438,0.0,rosewill-case-neutron
Black,,,,,,1,Yes,No,2,1,,,Case,/product/P9Wrxr/silverstone-case-ftz01b,Silverstone,"12.99""",,"Mini DTX, Mini ITX",Silverstone FTZ01B Mini ITX Desktop Case,FTZ01B,"[129.99, 129.99, 129.97]",Mini ITX Desktop,silverstone-case-ftz01b,,0.0,129.983333333,silverstone-case-ftz01b
Black/Blue,,,1,3,,,Yes,No,3,3,,,Case,/product/Zyw323/diypc-case-skyline07b,DIYPC,"12.99""",,"ATX, Micro ATX",DIYPC Skyline-07-B ATX Full Tower Case,Skyline-07-B,[85.89],ATX Full Tower,diypc-case-skyline07b,,0.0,85.89,diypc-case-skyline07b
Black,,,,1,,,Yes,No,,3,,,Case,/product/YLDzK8/silverstone-case-sstsg11b,Silverstone,"14.53""",Sugo SG11B,"Micro ATX, Mini DTX, Mini ITX",Silverstone Sugo SG11B MicroATX Mini Tower Case,SST-SG11B<br/>(or) SG11B,"[66.99, 66.99, 66.99]",MicroATX Mini Tower,silverstone-case-sstsg11b,,0.0,66.99,silverstone-case-sstsg11b
Black/White,"18.90"" x 7.83"" x 18.07""",,1,4,,,Yes,No,,5,,,Case,/product/4ZNp99/enermax-case-eca3253bw,Enermax,"11.26"" (286mm) With Drive Cages<br/>16.26"" (413mm) Without Drive Cages",,"ATX, Micro ATX, Mini ITX",Enermax ECA3253-BW ATX Mid Tower Case,ECA3253-BW,"[46.99, 47.47, 48.91, 44.99]",ATX Mid Tower,enermax-case-eca3253bw,"[18.90, 7.83, 18.07]",2674.12509,47.09,enermax-case-eca3253bw
Black/Red,"19.06"" x 9.57"" x 19.49""",,,3,,,Yes,No,2,8,,,Case,/product/CN8Zxr/enermax-case-eca3280abr,Enermax,"11.26"" (286mm) With Drive Cages<br/>16.22"" (412mm) Without Drive Cages",,"ATX, Micro ATX, Mini ITX",Enermax ECA3280A-BR ATX Mid Tower Case,ECA3280A-BR,"[64.99, 70.43]",ATX Mid Tower,enermax-case-eca3280abr,"[19.06, 9.57, 19.49]",3555.057858,67.71,enermax-case-eca3280abr
Black/Red,,,,3,,,Yes,No,3,3,,,Case,/product/4HzZxr/raidmax-case-atxa07wbr,Raidmax,"11.02"" (280mm) With Drive Cages<br/>15.35"" (390mm) Without Drive Cages",Viper II,"ATX, Micro ATX, Mini ITX",Raidmax Viper II ATX Mid Tower Case,ATX-A07WBR,"[49.99, 57.29]",ATX Mid Tower,raidmax-case-atxa07wbr,,0.0,53.64,raidmax-case-atxa07wbr
Black,"13.86"" x 6.89"" x 13.78""",,1,2,,,Yes,No,,2,,,Case,/product/dwsKHx/rosewill-case-fbm01,Rosewill,,,"Micro ATX, Mini ITX",Rosewill FBM-01 MicroATX Mini Tower Case,FBM-01,"[25.99, 27.99, 21.35]",MicroATX Mini Tower,rosewill-case-fbm01,"[13.86, 6.89, 13.78]",1315.926612,25.11,rosewill-case-fbm01
Black,"7.20"" x 12.68"" x 18.82""",,,7,,,No,No,1,,,,Case,/product/PNfp99/istarusa-case-s917,iStarUSA,,,Mini ITX,iStarUSA S-917 Mini ITX Tower Case,S-917,"[176.99, 178.95, 194.99, 205.97]",Mini ITX Tower,istarusa-case-s917,"[7.20, 12.68, 18.82]",1718.19072,189.225,istarusa-case-s917
Black/Yellow,,,,1,,,Yes,No,1,1,,,Case,/product/cGfmP6/sharkoon-case-4044951016426,SHARKOON,"12.40""",SHARK ZONE C10,Mini ITX,SHARKOON SHARK ZONE C10 Mini ITX Tower Case,4044951016426,[],Mini ITX Tower,sharkoon-case-4044951016426,,0.0,0.0,sharkoon-case-4044951016426
Black,,,,2,,,Yes,No,1,6,,,Case,/product/vt648d/rosewill-case-starpredator,Rosewill,"15.35""",,"ATX, Micro ATX, Mini ITX",Rosewill STAR PREDATOR ATX Mid Tower Case,STAR PREDATOR,"[44.99, 49.99, 49.99]",ATX Mid Tower,rosewill-case-starpredator,,0.0,48.3233333333,rosewill-case-starpredator
Black,"13.46"" x 4.37"" x 17.28""",,2,,1,,Yes,No,,,,,Case,/product/nLW9TW/azza-case-csaz103,Azza,"10.98""",Z,Mini ITX,Azza Z Mini ITX Tower Case,CSAZ-103,[69.99],Mini ITX Tower,azza-case-csaz103,"[13.46, 4.37, 17.28]",1016.413056,69.99,azza-case-csaz103
Black,,,,2,,,Yes,No,2,3,,,Case,/product/x4nG3C/diypc-case-p48bk,DIYPC,"14.76""",,"ATX, Micro ATX, Mini ITX",DIYPC P48-BK ATX Mid Tower Case,P48-BK,[26.99],ATX Mid Tower,diypc-case-p48bk,,0.0,26.99,diypc-case-p48bk
Black,"12.09"" x 7.83"" x 4.09""",,,1,,,No,250 Watts,1,1,,,Case,/product/xg7wrH/apevia-case-xfit200,Apevia,,,"Mini ITX, Thin Mini ITX",Apevia X-FIT-200 Mini ITX Tower Case w/250W Power Supply,X-FIT-200,"[44.99, 55.06, 57.76]",Mini ITX Tower,apevia-case-xfit200,"[12.09, 7.83, 4.09]",387.178623,52.6033333333,apevia-case-xfit200
Black,,,,,,1,Yes,No,2,1,,,Case,/product/BVsKHx/silverstone-case-sg08blite,Silverstone,"12.17""",,Mini ITX,Silverstone SG08B-LITE Mini ITX Desktop Case,SG08B-LITE<br/>(or) SST-SG08B-Lite USB 3.0,"[72.99, 74.99]",Mini ITX Desktop,silverstone-case-sg08blite,,0.0,73.99,silverstone-case-sg08blite
Black,"21.30"" x 9.29"" x 21.97""",,,2,,,Yes,No,,5,,,Case,/product/RNLypg/thermaltake-case-ca1c600m1wn00,Thermaltake,"12.20"" (310mm) With Drive Cages<br/>18.90"" (480mm) Without Drive Cages",Core V51,"ATX, EATX, Micro ATX, Mini ITX",Thermaltake Core V51 ATX Mid Tower Case,CA-1C6-00M-1WN-00,"[101.99, 104.99, 93.38]",ATX Mid Tower,thermaltake-case-ca1c600m1wn00,"[21.30, 9.29, 21.97]",4347.35769,100.12,thermaltake-case-ca1c600m1wn00
White,,,,3,,,Yes,No,3,3,,,Case,/product/gpqdnQ/bitfenix-case-bfccom100wwxs1rp,BitFenix,"11.81""",Comrade,"ATX, Micro ATX, Mini ITX",BitFenix Comrade ATX Mid Tower Case,BFC-COM-100-WWXS1-RP,"[59.99, 75.14, 76.77]",ATX Mid Tower,bitfenix-case-bfccom100wwxs1rp,,0.0,70.6333333333,bitfenix-case-bfccom100wwxs1rp
Black/Red,"17.72"" x 8.27"" x 18.31""",,,,,,Yes,No,2,2,,,Case,/product/2pVBD3/silverstone-redline-rl05-blackred-atx-mid-tower-case-sst-rl05br-w,Silverstone,"14.72""",Redline RL05 (Black/Red),"ATX, Micro ATX, Mini ITX",Silverstone Redline RL05 (Black/Red) ATX Mid Tower Case,SST-RL05BR-W,[69.99],ATX Mid Tower,silverstone-redline-rl05-blackred-atx-mid-tower-case-sst-rl05br-w,"[17.72, 8.27, 18.31]",2683.227964,69.99,silverstone-redline-rl05-blackred-atx-mid-tower-case-sst-rl05br-w
Black,,,,3,,,Yes,No,,4,,,Case,/product/kHNypg/corsair-case-cc9011076ww,Corsair,"17.72""",330R Blackout,"ATX, EATX, Micro ATX, Mini ITX",Corsair 330R Blackout ATX Mid Tower Case,CC-9011076-WW,"[89.99, 89.99, 89.99, 89.99, 99.99, 89.99]",ATX Mid Tower,corsair-case-cc9011076ww,,0.0,91.6566666667,corsair-case-cc9011076ww
Black,,,1,4,,,No,585 Watts,,5,,,Case,/product/PFNp99/hec-case-6c28bbx585,HEC,,,"ATX, Micro ATX, Mini ITX",HEC 6C28BBX585 ATX Mid Tower Case w/585W Power Supply,6C28BBX585,[],ATX Mid Tower,hec-case-6c28bbx585,,0.0,0.0,hec-case-6c28bbx585
Black/Yellow,"13.98"" x 11.50"" x 15.59""",,,,,,Yes,No,2,2,,,Case,/product/7LW9TW/corsair-case-cc9011065ww,Corsair,"11.42""",380T,Mini ITX,Corsair 380T Mini ITX Tower Case,CC-9011065-WW,[149.99],Mini ITX Tower,corsair-case-cc9011065ww,"[13.98, 11.50, 15.59]",2506.4043,149.99,corsair-case-cc9011065ww
Black,,,,,,,Yes,No,4,,,,Case,/product/MqmxFT/silverstone-case-sstrvz01be,Silverstone,"12.99""",RVZ01B-E,"Mini DTX, Mini ITX",Silverstone RVZ01B-E HTPC Case,SST-RVZ01B-E<br/>(or) RVZ01B-E,"[83.99, 89.99]",HTPC,silverstone-case-sstrvz01be,,0.0,86.99,silverstone-case-sstrvz01be
White,,,1,1,,,Yes,No,1,2,,,Case,/product/VQ648d/apevia-case-xqberwht,Apevia,"12.60""",,"Micro ATX, Mini ITX",Apevia X-QBER-WHT MicroATX Desktop Case,X-QBER-WHT,"[50.99, 59.99, 67.57, 59.99, 84.43]",MicroATX Desktop,apevia-case-xqberwht,,0.0,64.594,apevia-case-xqberwht
Black/Blue,"20.24"" x 17.48"" x 7.72""",,1,4,,,Yes,No,1,4,,,Case,/product/NJ6BD3/apevia-case-xhermesbl,Apevia,"15.98""",,"ATX, Micro ATX, Mini ITX",Apevia X-HERMES-BL ATX Mid Tower Case,X-HERMES-BL,"[59.99, 59.99, 59.55]",ATX Mid Tower,apevia-case-xhermesbl,"[20.24, 17.48, 7.72]",2731.298944,59.8433333333,apevia-case-xhermesbl
White,,,1,2,,,Yes,No,1,4,,,Case,/product/n3tWGX/diypc-case-s280w,DIYPC,"15.75""",,"ATX, Micro ATX, Mini ITX",DIYPC S280-W ATX Mid Tower Case,S280-W,[49.97],ATX Mid Tower,diypc-case-s280w,,0.0,49.97,diypc-case-s280w
White,"9.80"" x 12.95"" x 14.69""",,,,,,Yes,No,,6,,,Case,/product/37mLrH/bitfenix-case-bfcphe300wwxkkrp,BitFenix,"7.09"" (180mm) With Drive Cages<br/>12.99"" (330mm) Without Drive Cages",Phenom Arctic White,Mini ITX,BitFenix Phenom Arctic White Mini ITX Tower Case,BFC-PHE-300-WWXKK-RP,"[78.99, 94.67, 106.32, 114.51]",Mini ITX Tower,bitfenix-case-bfcphe300wwxkkrp,"[9.80, 12.95, 14.69]",1864.3079,98.6225,bitfenix-case-bfcphe300wwxkkrp
Black,"19.25"" x 8.03"" x 18.07""",,,3,,,Yes,No,,7,,,Case,/product/rZYXsY/bitfenix-case-shinobiwindow,BitFenix,"12.60""",,"ATX, Micro ATX, Mini ITX, Thin Mini ITX",BitFenix Shinobi Window ATX Mid Tower Case,Shinobi Window<br/>(or) BFC-SNB-150-KKW1-RP,[79.99],ATX Mid Tower,bitfenix-case-shinobiwindow,"[19.25, 8.03, 18.07]",2793.215425,79.99,bitfenix-case-shinobiwindow
Black,,,,,1,,Yes,No,1,1,,,Case,/product/yrZQzy/silverstone-case-sg06bblite,Silverstone,"10.00""",,Mini ITX,Silverstone SG06BB-LITE Mini ITX Desktop Case,SG06BB-LITE<br/>(or) SST-SG06BB-LITE,"[41.99, 41.99]",Mini ITX Desktop,silverstone-case-sg06bblite,,0.0,41.99,silverstone-case-sg06bblite
Black,"6.61"" x 13.98"" x 12.13""",,,,,1,Yes,500 Watts,,2,,,Case,/product/Gyw323/evga-case-110mw1002k1,EVGA,"10.47""",Hadron Hydro,Mini ITX,EVGA Hadron Hydro Mini ITX Tower Case w/500W Power Supply,110-MW-1002-K1<br/>(or) 110-MW-1002-K3,"[169.99, 176.39]",Mini ITX Tower,evga-case-110mw1002k1,"[6.61, 13.98, 12.13]",1120.906614,173.19,evga-case-110mw1002k1
Black,"19.09"" x 7.87"" x 16.69""",,1,3,,,Yes,No,1,5,,,Case,/product/kXckcf/thermaltake-case-vn400a1w2n,Thermaltake,"12.60""",Commander MS-I ID,"ATX, Micro ATX, Mini ITX",Thermaltake Commander MS-I ID ATX Mid Tower Case,VN400A1W2N,"[44.99, 59.06]",ATX Mid Tower,thermaltake-case-vn400a1w2n,"[19.09, 7.87, 16.69]",2507.477227,52.025,thermaltake-case-vn400a1w2n
White/Blue,"16.89"" x 7.24"" x 18.46""",,,2,,,Yes,No,3,3,,,Case,/product/NGvRsY/bitfenix-case-bfcneo100wwxksrp,BitFenix,"11.81""",Neos White/Silver,"ATX, Micro ATX, Mini ITX",BitFenix Neos White/Silver ATX Mid Tower Case,BFC-NEO-100-WWXKS-RP,[44.99],ATX Mid Tower,bitfenix-case-bfcneo100wwxksrp,"[16.89, 7.24, 18.46]",2257.355256,44.99,bitfenix-case-bfcneo100wwxksrp
Black/Silver,,,,3,,,Yes,No,3,5,,,Case,/product/sBQypg/nanoxia-case-nxds3b,Nanoxia,"13.58"" (345mm) With Drive Cages<br/>16.93"" (430mm) Without Drive Cages",Deep Silence 3,"ATX, Micro ATX, Mini ITX, XL ATX",Nanoxia Deep Silence 3 ATX Mid Tower Case,NXDS3B,[109.99],ATX Mid Tower,nanoxia-case-nxds3b,,0.0,109.99,nanoxia-case-nxds3b
White/Black,"22.09"" x 9.57"" x 23.39""",,,3,,,Yes,No,,8,,,Case,/product/Mz4gXL/inwin-case-gronewhite,Inwin,"13.46"" (342mm) With Drive Cages<br/>14.37"" (365mm) Without Drive Cages",GRone White (White),"ATX, EATX, Micro ATX",Inwin GRone White (White) ATX Full Tower Case,GRone White<br/>(or) BX141WHI,"[129.99, 148.35]",ATX Full Tower,inwin-case-gronewhite,"[22.09, 9.57, 23.39]",4944.676407,139.17,inwin-case-gronewhite
Orange,"9.80"" x 15.91"" x 14.09""",,,1,,,Yes,No,4,5,,,Case,/product/pNdqqs/bitfenix-case-bfcpro300ooxkorp,BitFenix,"6.97"" (177mm) With Drive Cages<br/>12.48"" (317mm) Without Drive Cages",Prodigy (Orange),"Mini ITX, Thin Mini ITX",BitFenix Prodigy (Orange) Mini ITX Tower Case,BFC-PRO-300-OOXKO-RP<br/>(or) PRODIGY-OG,"[78.99, 85.0]",Mini ITX Tower,bitfenix-case-bfcpro300ooxkorp,"[9.80, 15.91, 14.09]",2196.88462,81.995,bitfenix-case-bfcpro300ooxkorp
Black/Red,,,,3,,,Yes,No,2,12,,,Case,/product/Pxn2FT/antec-case-nineteenhundredred,Antec,"12.99""",,"ATX, EATX, Micro ATX, Mini ITX, SSI CEB",Antec Nineteen Hundred Red ATX Full Tower Case,Nineteen Hundred Red,[185.99],ATX Full Tower,antec-case-nineteenhundredred,,0.0,185.99,antec-case-nineteenhundredred
Black,"12.09"" x 11.97"" x 5.98""",,,,,1,Yes,500 Watts,2,2,,,Case,/product/Dz2kcf/evga-case-110ma1001k1,EVGA,"10.51""",Hadron,Mini ITX,EVGA Hadron Mini ITX Tower Case w/500W Power Supply,110-MA-1001-K1<br/>(or) 110-MA-1001-K2<br/>(or) 110-MA-1001-K3<br/>(or) 110-MA-1001-K4,[],Mini ITX Tower,evga-case-110ma1001k1,"[12.09, 11.97, 5.98]",865.409454,0.0,evga-case-110ma1001k1
Black/Orange,"17.48"" x 7.28"" x 17.28""",,,2,,,Yes,No,2,3,,,Case,/product/6pZQzy/corsair-case-cc9011054ww,Corsair,"16.54""",SPEC-03 Orange,"ATX, Micro ATX, Mini ITX",Corsair SPEC-03 Orange ATX Mid Tower Case,CC-9011054-WW,[69.99],ATX Mid Tower,corsair-case-cc9011054ww,"[17.48, 7.28, 17.28]",2198.956032,69.99,corsair-case-cc9011054ww
Black,"19.37"" x 7.48"" x 16.77""",,1,2,,,Yes,No,1,7,,,Case,/product/qTGkcf/cooler-master-case-for500kkn1,Cooler Master,"12.60""",Force 500,"ATX, Micro ATX, Mini ITX",Cooler Master Force 500 ATX Mid Tower Case,FOR-500-KKN1,[],ATX Mid Tower,cooler-master-case-for500kkn1,"[19.37, 7.48, 16.77]",2429.765052,0.0,cooler-master-case-for500kkn1
Black,,,,2,,,Yes,No,,4,,,Case,/product/wZx9TW/fractal-design-case-fdcacore2500bl,Fractal Design,"14.96""",Core 2500,"ATX, Micro ATX, Mini ITX",Fractal Design Core 2500 ATX Mid Tower Case,FD-CA-CORE-2500-BL,[],ATX Mid Tower,fractal-design-case-fdcacore2500bl,,0.0,0.0,fractal-design-case-fdcacore2500bl
Black/Silver,"16.89"" x 7.24"" x 18.46""",,,2,,,Yes,No,3,3,,,Case,/product/48h9TW/bitfenix-case-bfcneo100kkxksrp,BitFenix,"11.81""",Neos Black/Silver,"ATX, Micro ATX, Mini ITX",BitFenix Neos Black/Silver ATX Mid Tower Case,BFC-NEO-100-KKXKS-RP,[],ATX Mid Tower,bitfenix-case-bfcneo100kkxksrp,"[16.89, 7.24, 18.46]",2257.355256,0.0,bitfenix-case-bfcneo100kkxksrp
Black,,,1,1,,,Yes,No,1,2,,,Case,/product/927CmG/apevia-case-xqpack3nwbk,Apevia,"12.60""",,"Micro ATX, Mini ITX",Apevia X-QPACK3-NW-BK MicroATX Mini Tower Case,X-QPACK3-NW-BK,"[48.99, 55.98, 59.99, 67.57, 59.99]",MicroATX Mini Tower,apevia-case-xqpack3nwbk,,0.0,58.504,apevia-case-xqpack3nwbk
Black,"18.46"" x 8.07"" x 17.28""",,,2,,,Yes,No,1,3,,,Case,/product/cPrG3C/antec-case-soloii,Antec,"15.00""",SOLO II,"ATX, Micro ATX, Mini ITX, Thin Mini ITX",Antec SOLO II ATX Mid Tower Case,Solo II,"[103.99, 119.99, 159.99]",ATX Mid Tower,antec-case-soloii,"[18.46, 8.07, 17.28]",2574.239616,127.99,antec-case-soloii
Black/Green,,,,3,,,Yes,No,4,4,,,Case,/product/wVcMnQ/apevia-case-xpioneergn,Apevia,,,"ATX, Micro ATX",Apevia X-PIONEER-GN ATX Mid Tower Case,X-PIONEER-GN,"[48.99, 57.99, 57.99, 81.19]",ATX Mid Tower,apevia-case-xpioneergn,,0.0,61.54,apevia-case-xpioneergn
Black/Blue,"16.77"" x 7.68"" x 19.57""",,,3,,,Yes,No,1,6,,,Case,/product/xZtCmG/thermaltake-case-ca1a300m1wn00,Thermaltake,"12.60""",Chaser A21,"ATX, Micro ATX, Mini ITX",Thermaltake Chaser A21 ATX Mid Tower Case,CA-1A3-00M1WN-00,"[47.99, 53.98, 62.21, 59.99, 59.99]",ATX Mid Tower,thermaltake-case-ca1a300m1wn00,"[16.77, 7.68, 19.57]",2520.490752,56.832,thermaltake-case-ca1a300m1wn00
Black/Orange,"21.22"" x 9.45"" x 19.96""",1,,3,,,Yes,No,1,3,,,Case,/product/9D38TW/raidmax-viper-gx-ii-orange-atx-mid-tower-case-atx-522wbo,Raidmax,"16.34""",Viper GX II (Orange),"ATX, Micro ATX, Mini ITX",Raidmax Viper GX II (Orange) ATX Mid Tower Case,ATX-522WBO,"[65.99, 69.99, 108.13]",ATX Mid Tower,raidmax-viper-gx-ii-orange-atx-mid-tower-case-atx-522wbo,"[21.22, 9.45, 19.96]",4002.55884,81.37,raidmax-viper-gx-ii-orange-atx-mid-tower-case-atx-522wbo
Black,"15.87"" x 7.13"" x 16.10""",,1,2,,,No,450 Watts,,3,,,Case,/product/CnR48d/apevia-case-xtrpjrnwbk450,Apevia,,X-Trooper-Jr (Black),"ATX, Micro ATX, Mini ITX",Apevia X-Trooper-Jr (Black) ATX Mid Tower Case w/450W Power Supply,X-TRPJR-NW-BK/450,"[48.85, 56.87, 59.97]",ATX Mid Tower,apevia-case-xtrpjrnwbk450,"[15.87, 7.13, 16.10]",1821.76491,55.23,apevia-case-xtrpjrnwbk450
Black,"17.24"" x 16.77"" x 6.06""",,2,3,,,No,No,,2,,,Case,/product/zDH323/hec-case-7106bb,HEC,,,"ATX, Micro ATX, Mini ITX",HEC 7106BB ATX Desktop Case,7106BB,[57.99],ATX Desktop,hec-case-7106bb,"[17.24, 16.77, 6.06]",1752.035688,57.99,hec-case-7106bb
Gunmetal,,,,3,,,Yes,No,,7,,,Case,/product/77K7YJ/enermax-case-eca3290ag,Enermax,"11.42"" (290mm) With Drive Cages<br/>16.34"" (415mm) Without Drive Cages",,"ATX, Micro ATX, Mini ITX",Enermax ECA3290A-G ATX Mid Tower Case,ECA3290A-G,[58.99],ATX Mid Tower,enermax-case-eca3290ag,,0.0,58.99,enermax-case-eca3290ag
Black,"20.08"" x 8.27"" x 20.51""",,1,3,,,Yes,No,3,4,,,Case,/product/ZQrG3C/bitfenix-case-bfcgho300kkn1rp,BitFenix,"12.60"" (320mm) With Drive Cages<br/>15.75"" (400mm) Without Drive Cages",Ghost (Black),"ATX, Micro ATX, Mini ITX, Thin Mini ITX",BitFenix Ghost (Black) ATX Mid Tower Case,BFC-GHO-300-KKN1-RP,"[86.99, 133.84, 136.75, 118.57]",ATX Mid Tower,bitfenix-case-bfcgho300kkn1rp,"[20.08, 8.27, 20.51]",3405.923416,119.0375,bitfenix-case-bfcgho300kkn1rp
Black/Orange,"10.51"" x 20.24"" x 20.55""",,1,3,,,Yes,No,,7,,,Case,/product/cwW9TW/cougar-case-challengero,Cougar,"11.81"" (300mm) With Drive Cages<br/>16.14"" (410mm) Without Drive Cages",Challenger-O (Black/Orange),"ATX, Micro ATX, Mini ITX",Cougar Challenger-O (Black/Orange) ATX Mid Tower Case,Challenger-O,"[69.99, 69.99, 85.11]",ATX Mid Tower,cougar-case-challengero,"[10.51, 20.24, 20.55]",4371.44532,75.03,cougar-case-challengero
Black,,,,3,,,Yes,No,1,7,,,Case,/product/s3Crxr/rosewill-case-viperz,Rosewill,,,"ATX, Micro ATX",Rosewill VIPER Z ATX Mid Tower Case,VIPER Z,"[59.99, 69.99, 59.99]",ATX Mid Tower,rosewill-case-viperz,,0.0,63.3233333333,rosewill-case-viperz
Black,"25.08"" x 9.76"" x 23.19""",,,9,,,Yes,No,,5,,,Case,/product/xRckcf/azza-case-csaz9000b,Azza,"15.75""",Genesis 9000 (Black),"ATX, EATX, Micro ATX, Mini ITX, XL ATX",Azza Genesis 9000 (Black) ATX Full Tower Case,CSAZ-9000B,"[159.99, 159.99]",ATX Full Tower,azza-case-csaz9000b,"[25.08, 9.76, 23.19]",5676.466752,159.99,azza-case-csaz9000b
Black/Blue,,,,3,,,Yes,No,4,4,,,Case,/product/NNPzK8/apevia-case-xpioneerbl,Apevia,,,"ATX, Micro ATX",Apevia X-PIONEER-BL ATX Mid Tower Case,X-PIONEER-BL,"[48.99, 57.99, 57.99, 81.19]",ATX Mid Tower,apevia-case-xpioneerbl,,0.0,61.54,apevia-case-xpioneerbl
Black,"18.90"" x 7.83"" x 16.93""",,,2,,,No,No,,6,,,Case,/product/6kQypg/fractal-design-case-fdcacore3000bl,Fractal Design,"10.63"" (270mm) With Drive Cages<br/>16.54"" (420mm) Without Drive Cages",Core 3000,"ATX, Micro ATX, Mini ITX, Thin Mini ITX",Fractal Design Core 3000 ATX Mid Tower Case,FD-CA-CORE-3000-BL,[],ATX Mid Tower,fractal-design-case-fdcacore3000bl,"[18.90, 7.83, 16.93]",2505.41991,0.0,fractal-design-case-fdcacore3000bl
